s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,45.0,45.0
1,50.9443,47.9722
2,50.9443,48.9661
3,45.0,47.9722
4,45.0,47.3757
5,45.0,46.9783
6,45.0,46.6946
7,58.2825,48.1227
8,58.2825,49.2479
9,58.2825,50.1549
10,60.7148,51.1164
11,59.8724,51.8536
12,45.0,51.3177
13,59.8724,51.9362
14,58.2825,52.3672
15,50.7801,52.2656
16,50.9443,52.186
17,50.7801,52.1062
18,49.1297,51.9464
19,49.1297,51.8029
20,47.7202,51.6052
21,45.0,51.3015
22,43.7959,50.972
23,43.7959,50.6698
24,45.0,50.4396
25,45.0,50.4396
26,45.0,50.1979
27,41.9149,49.8329
28,45.0,49.8329
29,45.0,49.8329
30,45.0,49.8329
31,45.0,49.8329
32,46.6975,49.3644
33,45.0,48.8288
34,40.8703,48.1298
35,45.0,47.508
36,45.0,46.9216
37,45.0,46.9216
38,45.0,46.3399
39,45.0,45.8203
40,45.0,45.5893
41,45.0,45.3522
42,45.0,45.1219
43,45.0,44.957
44,49.1297,44.957
45,49.1297,45.013
46,49.1297,45.178
47,49.1297,45.3913
48,49.1297,45.6048
49,45.0,45.6048
50,45.0,45.6048
51,49.1297,45.7701
52,50.2696,46.104
53,48.7854,46.2557
54,52.6751,46.5618
55,52.6751,46.8684
56,49.1297,47.0342
57,49.1297,47.1319
58,49.1297,47.2977
59,49.1297,47.6272
60,50.2696,47.8385
61,45.0,47.8385
62,49.1297,48.0041
63,49.1297,48.1696
64,49.1297,48.3351
65,49.1297,48.5004
66,49.1297,48.6657
67,50.2696,48.8765
68,49.1297,49.0416
69,49.1297,49.0416
70,45.0,48.8765
71,45.0,48.7114
72,45.0,48.5461
73,45.0,48.3807
74,50.9443,48.6188
75,50.9443,48.8568
76,58.2825,49.2179
77,50.9443,49.245
78,50.9443,49.3318
79,45.0,49.0241
80,50.9443,48.9549
81,45.0,48.7893
82,45.0,48.6237
83,52.0181,48.7396
84,45.0,48.5738
85,45.0,48.362
86,45.0,48.362
87,45.0,48.196
88,52.0181,48.3119
89,45.0,48.1458
90,45.0,47.9797
91,45.0,47.8134
92,45.0,47.6013
93,45.0,47.435
94,45.0,47.2687
95,45.0,47.2687
96,45.0,47.2687
97,45.0,47.2687
98,45.0,47.2687
99,45.0,47.0296
100,45.0,46.7907
101,45.0,46.2695
102,45.0,46.0318
103,45.0,45.7943
104,45.0,45.7943
105,45.0,45.5571
106,46.3013,45.6093
107,48.5625,45.7519
108,46.3013,45.5249
109,46.3013,45.577
110,46.3013,45.6291
111,45.0,45.6291
112,45.0,45.6291
113,45.0,45.3504
114,45.0,45.3504
115,45.0,45.3504
116,45.0,45.3504
117,45.0,45.3504
118,42.6733,45.2575
119,45.0,45.2575
120,45.0,45.2575
121,49.1297,45.4223
122,45.0,45.4223
123,49.1297,45.5873
124,49.1297,45.7524
125,45.0,45.7524
126,45.0,45.7524
127,45.0,45.7524
128,45.0,45.7524
129,50.1944,45.9598
130,45.0,45.9598
131,49.0651,46.0704
132,50.9443,46.1651
133,59.0362,46.6605
134,52.0181,46.8896
135,52.0181,47.1189
136,59.0362,47.6727
137,52.3382,47.9685
138,52.3382,48.2645
139,50.9443,48.5045
140,50.9443,48.7445
141,50.9443,48.9843
142,45.0,48.9843
143,45.0,49.0768
144,45.0,49.0768
145,45.0,49.0768
146,45.0,48.9104
147,45.0,48.9104
148,58.2825,49.2744
149,45.0,49.1077
150,52.0181,49.3913
151,59.8724,49.985
152,58.2825,50.519
153,52.0181,50.8026
154,52.0181,50.8766
155,52.0181,51.1597
156,45.0,50.9965
157,50.9443,50.9965
158,58.2825,50.967
159,59.0362,51.248
160,58.2825,51.5001
161,58.2825,51.4703
162,52.0181,51.4573
163,54.2175,51.5336
164,54.2175,51.6667
165,59.0362,51.9932
166,50.9443,51.9932
167,50.9443,52.2323
168,50.9443,52.4709
169,52.3382,52.7653
170,50.9443,53.0025
171,45.0,53.0025
172,45.0,53.0025
173,45.0,52.4691
174,45.0,52.4691
175,45.0,52.1875
176,45.0,51.5903
177,45.0,51.0559
178,49.0651,50.9361
179,50.9443,50.8926
180,52.3382,50.9055
181,52.3382,51.2015
182,45.0,50.9621
183,50.9443,50.6678
184,50.9443,50.3451
185,45.0,49.8134
186,45.0,49.283
187,45.0,49.0004
188,45.0,48.6299
189,45.0,48.2599
190,45.0,47.7055
191,52.0181,47.7483
192,45.0,47.5095
193,45.0,47.2708
194,39.9377,46.7759
195,39.9377,46.3357
196,39.9377,46.1337
197,39.9377,45.9314
198,39.9377,45.7287
199,45.0,45.7287
