s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,45.0,45.0
1,45.0,45.0
2,49.3731,46.4564
3,45.0,46.0917
4,49.3731,46.7484
5,52.5342,47.7113
6,49.3731,47.9497
7,50.2759,48.2414
8,49.3731,48.3676
9,49.1297,48.4441
10,45.0,48.1305
11,50.7801,48.3519
12,52.5342,48.6739
13,53.588,49.0249
14,55.6755,49.4672
15,56.3572,49.8969
16,52.5342,50.053
17,52.5342,50.1917
18,52.6751,50.3232
19,49.1297,50.2631
20,52.5342,50.3718
21,52.5342,50.4707
22,49.1297,50.412
23,52.5342,50.5009
24,49.1297,50.4458
25,50.7801,50.6768
26,49.1297,50.8413
27,49.1297,50.8315
28,57.0511,51.3121
29,57.0511,51.6191
30,50.7801,51.5486
31,57.0511,51.856
32,65.1182,52.4364
33,50.7801,52.493
34,49.1297,52.493
35,52.6751,52.799
36,52.6751,52.8754
37,52.5342,52.8754
38,52.5342,52.8329
39,52.5342,52.7065
40,56.3572,52.7065
41,52.5342,52.7065
42,49.1297,52.5696
43,52.5342,52.5639
44,49.1297,52.5639
45,50.2759,52.473
46,49.1297,52.336
47,50.2759,52.382
48,49.1297,52.2449
49,47.3267,52.1729
50,47.7202,52.0501
51,47.1716,51.9718
52,48.7854,51.9579
53,53.4236,51.8126
54,51.187,51.5772
55,55.6755,51.7742
56,52.6751,51.5989
57,52.6751,51.1194
58,52.6751,51.1954
59,52.6751,51.3376
60,52.6751,51.3376
61,52.6751,51.3376
62,52.6751,51.3433
63,52.6751,51.3489
64,49.1297,51.2124
65,49.1297,50.9236
66,52.6751,50.9292
67,52.6751,51.0714
68,52.6751,51.077
69,52.6751,51.2191
70,49.1297,51.1732
71,53.4434,51.3461
72,65.1182,51.9231
73,58.2825,52.2899
74,58.2825,52.729
75,59.8724,53.2153
76,58.2825,53.6606
77,58.2825,54.0419
78,65.1182,54.5038
79,65.1182,55.0584
80,65.1182,55.4337
81,65.1182,55.9327
82,65.1182,56.4335
83,65.1182,56.9358
84,65.1182,57.4392
85,65.1182,57.9436
86,65.1182,58.4486
87,65.1182,58.9539
88,57.0511,59.1309
89,65.1182,59.7735
90,58.2825,60.1362
91,58.2825,60.3608
92,59.8724,60.6492
93,45.0,60.3634
94,45.0,60.0752
95,45.0,59.923
96,45.0,59.6001
97,58.2825,59.3199
98,58.2825,59.3199
99,58.2825,59.3199
100,58.2825,59.2545
101,58.2825,59.2545
102,49.0651,58.8827
103,49.0651,58.2289
104,49.0651,57.5739
105,53.4434,57.0957
106,53.4434,56.6186
107,55.9692,56.247
108,49.1297,55.5979
109,49.1297,54.9503
110,49.1297,54.305
111,49.1297,53.6625
112,49.1297,53.0235
113,49.1297,52.7015
114,49.1297,52.0679
115,49.1297,51.6985
116,49.1297,51.3298
117,49.1297,50.9001
118,49.1297,51.0655
