s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,45.0,45.0
1,45.0,45.0
2,47.7202,45.9064
3,45.0,45.6797
4,47.3558,46.015
5,45.0,45.8457
6,49.6191,46.3842
7,52.5342,47.1503
8,49.1297,47.3709
9,49.1297,47.5474
10,45.0,47.3152
11,58.2825,48.2152
12,58.2825,48.9835
13,58.2825,49.6462
14,59.8724,50.3259
15,45.0,49.9889
16,45.0,49.6916
17,45.0,49.4275
18,45.0,49.1914
19,45.0,48.979
20,45.0,48.787
21,50.2759,48.8557
22,50.2759,48.9184
23,50.2759,48.9758
24,49.1297,48.982
25,52.6751,49.2924
26,52.6751,49.6026
27,52.6751,49.8033
28,52.5342,50.1076
29,52.5342,50.3173
30,52.5342,50.6211
31,49.1297,50.6013
32,65.1182,51.0887
33,52.5342,51.2272
34,65.1182,51.8589
35,56.8147,52.3379
36,50.7801,52.0334
37,49.1297,51.6623
38,49.1297,51.2919
39,50.7801,50.9273
40,49.1297,51.0935
41,49.1297,51.2594
42,49.1297,51.4249
43,49.1297,51.5902
44,49.1297,51.7552
45,49.1297,51.9199
46,50.7801,51.9403
47,50.7801,51.9606
48,50.7801,51.981
49,49.1297,51.981
50,49.1297,51.8378
51,49.1297,51.6945
52,57.0511,51.8704
53,58.2825,52.1012
54,45.0,51.7985
55,49.0651,51.6578
56,45.0,51.4924
57,45.0,50.7011
58,45.0,50.3976
59,45.0,49.6139
60,45.0,49.1421
61,50.9443,49.1487
62,59.0362,49.5406
63,58.2825,49.9051
64,52.0181,49.9551
65,59.0362,50.3502
66,58.2825,50.7173
67,49.0651,50.7147
68,53.4434,50.8895
69,49.0651,50.8869
70,53.4434,51.0617
71,49.0651,50.9922
72,57.0511,51.245
73,65.1182,51.808
74,57.0511,52.1299
75,49.1297,52.1299
76,49.1297,52.1299
77,50.2696,51.8543
78,49.1297,51.4837
79,49.1297,51.6497
80,49.1297,51.6523
81,50.7801,51.885
82,49.1297,52.0502
83,49.1297,52.2151
84,50.7801,52.4463
85,58.2825,52.9793
86,58.2825,53.2754
87,58.2825,53.2454
88,45.0,52.7124
89,45.0,52.4312
90,45.0,51.8668
91,50.9443,51.5713
92,45.0,51.4085
93,45.0,51.0676
94,45.0,50.904
95,45.0,50.5622
96,45.0,50.3981
97,50.9443,50.1521
98,45.0,49.3661
99,45.0,48.8833
100,45.0,48.7168
101,45.0,48.5502
102,45.0,48.3373
103,45.0,48.1705
104,45.0,48.0036
105,45.0,47.8367
106,42.6733,47.5097
107,45.0,47.3426
108,45.0,47.1754
109,50.9443,47.182
110,54.2175,47.026
111,52.0181,46.7839
112,59.0362,46.8117
113,58.2825,47.3369
114,58.2825,47.8651
115,58.2825,48.3958
116,45.0,48.1545
117,45.0,48.1545
118,50.9443,48.3958
119,58.2825,48.9288
120,58.2825,49.4637
