s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,53.4434,53.4434
1,55.9692,54.7063
2,52.6751,54.0289
3,52.6751,53.6902
4,52.5342,53.4588
5,55.9692,53.8773
6,55.278,54.0776
7,53.8919,54.0544
8,52.6751,53.901
9,56.426,54.1535
10,55.6755,54.292
11,55.6755,54.4074
12,52.5342,54.2632
13,53.4434,54.2046
14,57.0511,54.3943
15,65.1182,55.0527
16,65.1182,55.6378
17,65.1182,56.1606
18,57.0511,56.208
19,65.1182,56.6518
20,58.2825,56.7303
21,58.2825,56.8016
22,50.9443,56.5458
23,50.9443,56.3111
24,53.4434,56.1952
25,53.4434,56.1952
26,55.9692,56.1952
27,55.278,56.3002
28,55.9692,56.433
29,52.5342,56.433
30,52.6751,56.3002
31,52.5342,56.1896
32,52.5342,56.1349
33,49.1297,55.9937
34,49.1297,55.7005
35,57.0511,55.7563
36,50.7801,55.5586
37,57.0511,55.7416
38,57.0511,55.8879
39,49.1297,55.5687
40,45.0,54.7683
41,45.0,53.9683
42,45.0,53.17
43,49.1297,52.8499
44,45.0,52.0555
45,45.0,51.5233
46,45.0,50.9911
47,45.0,50.7524
48,49.1297,50.679
49,49.1297,50.5047
50,49.1297,50.3305
51,49.1297,50.0556
52,49.1297,49.8084
53,49.1297,49.5344
54,45.0,49.2313
55,50.9443,49.1618
56,50.9443,49.0979
57,50.9443,49.0341
58,50.9443,49.1072
59,50.9443,49.1804
60,50.9443,48.9383
61,53.4434,49.0449
62,49.1297,48.7304
63,53.4434,48.5893
64,53.4434,48.7618
65,55.9692,49.1997
66,55.278,49.611
67,53.4434,49.9495
68,58.2825,50.3137
69,53.4434,50.6524
70,58.2825,51.1827
71,59.0362,51.7427
72,53.4434,52.0803
73,52.5342,52.2171
74,52.6751,52.3596
75,52.6751,52.502
76,52.5342,52.6387
77,49.7312,52.6627
78,52.6751,52.805
79,52.6751,53.1093
80,49.1297,53.0368
81,49.1297,52.9644
82,45.0,52.7292
83,45.0,52.4935
84,49.0651,52.418
85,49.0651,52.3426
86,49.0651,52.1664
87,49.0651,52.1638
88,58.2825,52.3572
89,50.9443,52.2564
90,49.1297,51.9811
91,52.6751,51.8764
92,52.4293,51.8355
93,48.7725,51.4547
94,48.4101,51.2522
95,48.5317,50.8627
96,47.504,50.4038
97,47.5897,50.169
98,47.9822,49.9862
99,46.3713,49.7334
100,46.3713,49.4805
101,46.3713,49.2333
102,48.9664,49.2025
103,46.9502,48.9729
104,48.2984,48.7975
105,46.9601,48.7104
106,46.9601,48.6232
107,46.9601,48.7016
108,49.7861,48.8934
109,49.3078,48.9031
110,52.6751,49.0477
111,50.2696,49.0961
112,52.6751,49.2408
113,50.2696,48.9254
114,52.6751,48.9945
115,50.2759,49.0404
116,52.5342,49.0348
117,49.0651,48.9002
118,50.9443,48.9873
119,58.2825,49.3775
120,58.2825,49.7643
121,59.0362,50.2228
122,59.0362,50.6795
123,49.0651,50.7231
124,50.3098,50.8814
125,49.0651,50.9894
126,49.0651,51.0973
127,49.0651,51.1013
128,53.4434,51.3624
129,50.9443,51.4689
130,53.4434,51.7293
131,49.1297,51.8159
132,48.7854,51.8887
133,49.3078,51.8695
134,46.9601,51.7758
135,45.0,51.4688
136,45.0,51.2583
137,47.5897,51.0534
138,45.0,50.8423
139,47.5897,50.6371
140,49.5097,50.6061
141,45.0,50.3029
142,52.6751,50.4488
143,49.1297,50.3754
144,45.0,49.844
145,49.1297,49.4797
146,47.3387,49.0161
147,46.8133,48.5336
148,42.8284,48.2846
149,42.8284,47.9852
150,41.2146,47.6718
151,42.8284,47.4217
152,42.2798,47.1495
153,45.0,46.8118
