s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,45.0,45.0
1,45.0,45.0
2,58.2825,49.3916
3,50.9443,49.7868
4,58.2825,51.4988
5,58.2825,52.6441
6,59.8724,53.6896
7,45.0,52.5926
8,59.8724,53.4135
9,45.0,52.5616
10,52.0181,52.5109
11,52.0181,52.4689
12,52.0181,52.4335
13,45.0,51.8971
14,45.0,51.4317
15,58.2825,51.8653
16,50.9443,51.81
17,45.0,51.4272
18,50.9443,51.4013
19,49.1297,51.2856
20,52.5342,51.3462
21,52.6751,51.4076
22,52.6751,51.4636
23,49.1297,51.3649
24,49.1297,51.2742
25,52.5342,51.578
26,52.6751,51.8868
27,49.1297,51.5184
28,49.1297,51.4449
29,49.1297,51.0772
30,49.1297,50.7104
31,45.0,50.1179
32,52.5342,50.4206
33,52.5342,50.132
34,52.6751,50.4395
35,49.1297,50.3234
36,49.1297,50.2072
37,49.1297,50.0911
38,45.0,50.0911
39,45.0,50.0911
40,45.0,49.5629
41,45.0,49.3248
42,45.0,49.3248
43,45.0,49.0864
44,45.0,48.9209
45,45.0,48.6186
46,45.0,48.3109
47,45.0,48.0032
48,45.0,47.8374
49,45.0,47.6714
50,50.9443,47.6082
51,45.0,47.3009
52,45.0,47.1351
53,50.9443,47.2076
54,50.9443,47.2802
55,50.9443,47.3529
56,50.9443,47.5915
57,49.0651,47.453
58,49.1297,47.3172
59,53.4434,47.3475
60,50.2696,47.3931
61,49.1297,47.3931
62,53.4434,47.5649
63,53.4434,47.903
64,53.4434,48.2414
65,57.0511,48.7217
66,58.2825,49.2508
67,58.2825,49.7815
68,58.2825,50.3135
69,50.9443,50.5529
70,57.0511,51.037
71,50.7801,51.2689
72,50.7801,51.5004
73,49.1297,51.665
74,65.1182,52.4572
75,65.1182,53.0164
76,65.1182,53.8164
77,45.0,53.8164
78,50.9443,53.8164
79,45.0,53.5796
80,45.0,53.342
81,45.0,53.1036
82,45.0,52.941
83,45.0,52.7755
84,45.0,52.4328
85,45.0,52.2196
86,45.0,52.0526
87,45.0,51.7078
88,45.0,51.3623
89,45.0,51.0161
90,45.0,50.5227
91,45.0,49.9805
92,45.0,49.4395
93,45.0,48.9001
94,45.0,48.6564
95,45.0,48.1671
96,42.6733,47.8357
97,42.6733,47.5041
98,45.0,47.3346
99,45.0,46.5603
100,50.9443,46.0378
101,45.0,45.2868
102,52.0181,45.5659
103,50.9443,45.5659
104,50.9443,45.8032
105,45.0,45.8032
106,58.2825,46.3227
107,58.2825,46.8456
108,52.0181,47.1283
109,50.9443,47.3682
110,58.2825,47.8962
111,50.9443,48.1368
112,50.9443,48.3775
113,58.2825,48.9089
114,58.2825,49.4422
115,50.9443,49.6833
116,50.9443,49.9241
117,50.9443,50.1646
118,50.9443,50.4049
119,58.2825,50.9392
120,58.2825,51.4741
121,58.2825,52.0997
