s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,49.5097,49.5097
1,52.6751,51.0924
2,52.6751,51.6204
3,52.6751,51.8843
4,52.5342,52.0144
5,57.0511,52.8521
6,50.9443,52.579
7,45.0,51.6366
8,49.0651,51.3495
9,45.0,50.7149
10,49.1297,50.5699
11,57.0511,51.1099
12,57.0511,51.5679
13,57.0511,51.9611
14,57.0511,52.3021
15,65.1182,53.0887
16,58.2825,53.3973
17,58.2825,53.6716
18,50.9443,53.5261
19,50.9443,53.3954
20,50.9443,53.2772
21,45.0,52.9006
22,45.0,52.556
23,45.0,52.2396
24,45.0,51.9481
25,45.0,51.7671
26,45.0,51.4567
27,45.0,51.1457
28,45.0,50.8341
29,45.0,50.5278
30,45.0,50.0391
31,45.0,49.7972
32,50.7801,50.0324
33,50.7801,50.1025
34,57.0511,50.5912
35,58.2825,50.962
36,45.0,50.4725
37,50.9443,50.2252
38,49.1297,49.9045
39,45.0,49.4168
40,58.2825,49.1648
41,59.8724,49.2256
42,45.0,48.6932
43,45.0,48.4524
44,45.0,48.2115
45,58.2825,48.5019
46,58.2825,49.0354
47,49.1297,49.2031
48,58.2825,49.7384
49,45.0,49.7384
50,50.9443,49.98
51,45.0,49.98
52,45.0,49.98
53,45.0,49.98
54,49.0651,50.1446
55,50.9443,50.3856
56,58.2825,50.9217
57,58.2825,51.2246
58,58.2825,51.5283
59,45.0,51.0394
60,45.0,50.5019
61,45.0,50.5019
62,45.0,50.2603
63,45.0,50.0926
64,45.0,50.0926
65,59.8724,50.1545
66,59.8724,50.1545
67,45.0,50.1545
68,45.0,50.1545
69,45.0,50.1545
70,49.1297,49.785
71,49.1297,49.4168
72,49.1297,49.4168
73,49.1297,49.05
74,49.1297,49.2174
75,49.1297,49.1437
76,49.1297,49.311
77,49.1297,49.4782
78,45.0,49.4782
79,50.9443,49.5545
80,50.9443,49.5545
81,52.0181,49.3057
82,52.0181,49.0577
83,52.0181,48.8107
84,45.0,48.8107
85,52.0181,49.0936
86,52.0181,49.3764
87,45.0,49.3764
88,50.9443,49.6158
89,45.0,49.6158
90,45.0,49.026
91,45.0,48.4392
92,45.0,48.4392
93,45.0,48.4392
94,49.1297,48.6047
95,45.0,48.4392
96,49.1297,48.4392
97,45.0,48.2735
98,49.1297,48.2735
99,45.0,48.1077
100,50.2696,48.1535
101,49.1297,48.1535
102,49.1297,48.1535
103,52.6751,48.4612
104,52.6751,48.5303
105,52.6751,48.5995
106,52.6751,48.6257
107,52.5342,48.6463
108,49.1297,48.5304
109,49.1297,48.6962
110,49.1297,48.5803
111,45.0,48.2988
112,45.0,48.2988
113,50.9443,48.2988
114,52.3382,48.5931
115,47.3818,48.6885
116,52.0181,48.9699
117,52.0181,49.2513
118,45.0,49.2513
119,47.3818,49.1811
120,41.4375,49.0409
121,45.0,48.8752
122,45.0,48.8752
123,42.8284,48.6231
124,45.0,48.6231
125,45.0,48.4112
126,45.0,48.2451
127,45.0,48.0789
128,45.0,47.7706
129,45.0,47.4625
130,47.3267,47.2483
131,45.0,46.941
132,45.0,46.6396
133,45.0,46.4737
134,45.0,46.3079
135,45.0,46.1422
136,45.0,46.1422
137,45.0,46.1422
138,52.3382,46.1972
139,59.0362,46.452
140,59.0362,46.9074
141,59.0362,47.1788
142,59.0362,47.4517
143,59.0362,48.0118
144,59.0362,48.4779
145,59.0362,49.1867
146,59.0362,49.7545
147,59.0362,50.3241
148,59.0362,50.9817
149,59.0362,51.5532
150,59.0362,52.125
151,60.7148,52.7637
152,60.7148,53.4025
153,59.0362,53.9731
154,55.4623,54.3963
155,59.0362,54.8726
156,50.1944,55.078
157,50.1944,55.2827
158,52.3382,55.5729
159,55.4623,55.9882
160,50.0623,56.1842
161,55.4623,56.5956
162,45.0,56.5956
163,48.5625,56.4465
164,46.3013,55.9389
165,46.3013,55.4292
166,50.1944,55.0715
167,50.0623,54.7084
168,45.0,54.1452
169,45.0,53.5804
170,45.0,53.0144
171,45.0,52.4475
172,45.0,51.8804
173,45.0,51.3134
174,52.3382,51.0443
175,49.0651,50.6429
176,45.0,50.0147
177,45.0,49.3892
178,47.3267,48.9234
179,46.6975,48.572
180,49.0351,48.1787
181,50.2759,48.1819
182,49.3078,48.1463
183,48.7854,48.004
184,48.7854,47.739
185,47.1716,47.623
186,48.7854,47.3591
187,52.6751,47.6658
188,45.0,47.5229
189,45.0,47.4708
190,45.0,47.4187
191,45.0,47.2104
192,45.0,47.0075
193,50.2696,47.2187
194,50.2696,47.43
195,48.7854,47.5818
196,50.9012,47.8183
197,52.6751,48.1254
198,49.0651,48.2884
199,50.2759,48.2061
200,49.0651,48.2061
201,47.3267,48.2992
202,49.0651,48.462
203,49.0651,48.5317
204,45.0,48.4639
205,53.4434,48.6399
206,50.9443,48.6667
207,50.9443,48.7323
208,58.2825,49.1075
209,58.2825,49.4842
210,58.2825,49.9273
211,45.0,49.7753
212,49.1297,49.6322
213,45.0,49.6322
214,45.0,49.6322
215,45.0,49.6322
216,45.0,49.6322
217,45.0,49.6322
218,50.9443,49.6595
219,45.0,49.4473
220,58.2825,49.8263
221,50.9443,49.828
222,50.9443,49.7581
223,50.9443,49.8342
224,49.0651,49.7852
225,49.0651,49.7852
226,49.0651,49.8554
227,49.0651,49.8554
228,45.0,49.6917
229,45.0,49.6917
230,42.6733,49.2583
231,45.0,49.0179
232,45.0,48.7774
233,45.0,48.2471
234,45.0,47.7192
235,46.3013,47.2462
236,39.8056,47.04
237,41.4375,46.7312
238,41.4375,46.5885
239,41.4375,46.4457
240,45.0,46.4457
241,45.0,46.4457
242,45.0,46.4457
243,45.0,46.2065
244,45.0,46.2065
245,45.0,45.6864
246,45.0,45.4486
247,45.0,45.2112
248,39.9377,44.7719
249,39.9377,44.4069
250,39.9377,44.0419
251,45.0,43.8798
252,39.9377,43.5153
253,39.9377,43.3125
254,39.9377,43.1097
255,45.0,43.2031
256,39.0557,42.965
257,39.0557,42.7269
258,40.9349,42.5638
259,45.0,42.5638
260,40.9349,42.3488
261,40.9349,42.394
262,45.0,42.5369
263,40.9349,42.5167
264,31.7175,42.1357
265,37.9819,41.8539
266,31.7175,41.3267
267,45.0,41.3267
268,31.7175,40.7975
269,45.0,40.7975
270,45.0,40.7975
271,42.6733,40.704
272,45.0,40.704
273,45.0,40.908
274,39.6902,40.898
275,39.8056,40.8927
276,41.4375,40.7493
277,41.4375,40.8099
278,41.4375,40.8705
279,41.4375,40.9311
280,41.4375,40.7877
281,34.5377,40.6071
282,34.5377,40.4261
283,34.5377,40.1688
284,40.0671,39.9701
285,30.9638,39.5719
286,30.9638,39.1723
