s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,48.7854,48.7854
1,48.7854,48.7854
2,49.7312,49.1007
3,50.2696,49.3929
4,49.1297,49.3403
5,49.1297,49.3052
6,50.2696,49.4429
7,49.7312,49.479
8,49.7312,49.507
9,52.6751,49.8234
10,52.6751,50.0825
11,52.6751,50.2985
12,52.6751,50.4814
13,52.6751,50.6382
14,52.6751,50.7741
15,52.6751,50.893
16,50.2696,50.8562
17,49.1297,50.7602
18,49.1297,50.6743
19,49.1297,50.597
20,45.0,50.3316
21,45.0,50.0899
22,45.0,49.869
23,45.0,49.6663
24,45.0,49.4797
25,45.0,49.3283
26,45.0,49.1767
27,45.0,48.987
28,45.0,48.7755
29,45.0,48.6097
30,58.2825,48.9716
31,45.0,48.7595
32,58.2825,49.0982
33,57.0511,49.3905
34,50.9443,49.3207
35,45.0,49.0109
36,45.0,48.701
37,49.1297,48.5581
38,50.7801,48.4819
39,49.1297,48.3391
40,45.0,48.0297
41,50.2759,48.0299
42,50.2759,48.0762
43,52.6751,48.2188
44,52.5342,48.356
45,49.1297,48.5228
46,49.1297,48.6895
47,50.7801,48.9228
48,50.7801,49.1559
49,49.1297,49.3222
50,45.0,49.3222
51,49.1297,49.4884
52,49.1297,49.6544
53,45.0,49.6544
54,58.2825,50.1852
55,50.9443,49.8934
56,45.0,49.8934
57,49.0651,49.5269
58,50.9443,49.2847
59,58.2825,49.5746
60,49.0651,49.7375
61,50.9443,49.9759
62,53.4434,50.1493
63,49.1297,50.0828
64,57.0511,50.3994
65,53.4434,50.7381
66,59.7694,51.1153
67,55.9692,51.3443
68,55.278,51.449
69,55.9692,51.5871
70,55.9692,51.8628
71,55.9692,52.1386
72,58.2825,52.4403
73,49.0651,52.3712
74,49.0651,52.3686
75,50.1944,52.5754
76,58.2825,52.9438
77,58.2825,53.3124
78,58.2825,53.8434
79,50.9443,53.5479
80,50.9443,53.5479
81,50.9443,53.7827
82,58.2825,54.1527
83,58.2825,54.4478
84,58.2825,54.4478
85,58.2825,54.8176
86,60.7148,55.2095
87,60.7148,55.5015
88,52.0181,55.6162
89,45.0,55.1388
90,45.0,54.8051
91,59.0362,54.7758
92,45.0,54.3381
93,52.3382,54.2188
94,50.9443,54.0151
95,45.0,53.5749
96,45.0,53.1332
97,45.0,52.5971
98,45.0,52.4344
99,58.2825,52.8089
100,58.2825,53.1379
101,58.2825,53.1379
102,59.8724,53.2015
103,59.8724,53.2652
104,45.0,53.0262
105,59.8724,53.3896
106,58.2825,53.6895
107,65.1182,53.9591
108,65.1182,54.2301
109,65.1182,54.5025
110,64.9028,54.7679
111,59.0362,54.6995
112,64.9028,54.8661
113,64.9028,55.3932
114,64.9028,56.2034
115,65.1182,57.0202
116,65.1182,57.2684
117,55.278,57.6785
118,55.278,57.7989
119,55.278,57.9754
120,59.7694,58.5649
121,65.1182,59.3666
122,65.1182,60.1615
123,58.2825,60.6721
124,60.7148,60.7706
125,60.7148,60.8691
126,60.7148,60.9676
127,60.7148,61.0018
128,58.2825,60.9374
129,60.7148,61.5381
130,60.7148,61.572
131,60.7148,61.6697
132,60.7148,61.4927
133,52.0181,60.9715
134,52.0181,60.4488
135,60.7148,60.2804
136,59.0362,60.2804
137,58.2825,60.0142
138,50.9443,59.4572
139,45.0,58.6757
140,45.0,57.88
141,45.0,57.08
142,45.0,56.6738
143,45.0,56.265
144,45.0,55.8535
145,58.2825,55.7927
146,50.9443,55.2178
147,50.9443,54.6452
148,58.2825,54.6452
149,59.0362,54.5775
150,59.0362,54.51
151,58.2825,54.4119
152,59.0362,54.3444
153,65.1182,54.6151
154,65.1182,54.7883
155,65.1182,54.9622
156,58.2825,54.8634
157,58.2825,54.7647
158,58.2825,55.0219
159,58.2825,55.279
160,58.2825,55.1801
161,58.2825,55.1494
162,45.0,54.6112
163,59.8724,54.9774
164,59.8724,55.5798
165,52.0181,55.8582
166,58.2825,56.3907
167,50.9443,56.6224
168,58.2825,57.1496
169,49.0651,57.3042
170,59.0362,57.3347
171,59.0362,57.6606
172,59.0362,57.9857
173,59.0362,58.0162
174,59.0362,58.0162
175,59.0362,58.0162
176,59.0362,58.0467
177,59.0362,58.0467
178,45.0,57.251
179,45.0,56.4518
180,45.0,55.6505
181,45.0,55.1186
182,45.0,54.5843
183,45.0,54.0479
184,45.0,53.5098
185,45.0,52.9704
186,45.0,52.43
187,45.0,52.43
188,52.0181,52.1112
189,45.0,51.508
190,45.0,51.2222
191,45.0,50.6821
192,52.0181,50.7261
193,52.0181,50.473
194,45.0,50.3076
195,59.0362,50.3076
196,55.4623,50.1656
197,55.4623,50.0239
198,50.0623,49.6637
199,55.4623,49.5232
200,52.3382,49.2576
201,59.0362,49.2576
202,59.0362,49.2576
203,58.2825,49.792
204,50.9443,50.0331
205,49.0651,50.1974
206,49.0651,50.3616
207,49.0651,50.5255
208,49.0651,50.6892
209,49.0651,50.8526
210,50.9443,51.092
211,49.0651,51.2548
212,49.0651,51.4174
213,50.9443,51.374
214,50.9443,51.6122
215,49.0651,51.7741
216,57.0511,52.2569
217,53.4434,52.3144
218,49.0651,52.1954
219,49.0651,52.3566
220,49.0651,51.9575
221,50.9443,51.7758
222,50.9443,51.5943
223,58.2825,51.9232
224,59.0362,52.0648
225,52.3382,52.0648
226,49.0651,51.6659
227,45.0,51.1061
228,47.3267,50.6685
229,45.0,50.4306
230,47.3267,50.3608
231,45.0,50.1982
232,45.0,50.0353
233,45.0,49.8723
234,45.0,49.7091
235,45.0,49.4698
236,45.0,49.3062
237,45.0,49.1425
238,45.0,48.9027
239,40.0671,48.4676
240,39.9377,48.1023
241,45.0,47.6201
242,45.0,47.2801
243,45.0,47.1157
244,45.0,46.9512
245,45.0,46.7868
246,52.0181,46.8297
247,45.0,46.5897
248,39.0557,45.8297
249,45.0,45.2839
250,42.6733,44.8987
251,40.9649,44.5745
252,41.9729,44.453
253,40.9649,44.198
254,40.9649,44.0362
255,42.8284,43.8558
256,42.6733,43.7624
257,45.0,43.7624
258,46.3013,43.8146
259,41.4375,43.6716
260,40.0671,43.4737
261,45.0,43.4737
262,39.9377,43.2706
263,45.0,43.2706
264,45.0,43.4686
265,45.0,43.6716
266,45.0,43.6716
267,45.0,43.6716
268,45.0,43.6716
269,45.0,43.6716
270,45.0,43.6716
271,45.0,43.3948
272,45.0,43.3948
273,45.0,43.6324
274,45.0,43.6324
275,45.0,43.7256
276,45.0,43.8872
277,45.0,44.0084
278,45.0,44.1699
279,45.0,44.3313
280,45.0,44.4182
281,45.0,44.5114
282,45.0,44.5114
283,45.0,44.4593
284,45.0,44.6018
285,45.0,44.7984
286,45.0,44.7984
287,45.0,45.0
288,45.0,45.0
289,45.0,45.0
290,45.0,45.0
291,45.0,45.0
292,45.0,45.0
293,45.0,45.0
294,45.0,45.0
295,45.0,45.0
296,45.0,45.0
297,45.0,45.0
298,45.0,45.0
299,45.0,45.0
300,45.0,45.0
301,45.0,45.0
302,45.0,45.0
303,45.0,45.0
304,45.0,45.0
305,45.0,45.0
306,45.0,45.0
307,45.0,45.0
308,45.0,45.0
309,45.0,45.0
310,45.0,45.0
311,45.0,45.0
312,45.0,45.0
313,45.0,45.0
314,45.0,45.0
315,45.0,45.0
316,45.0,45.0
317,45.0,45.0
318,45.0,45.0
319,45.0,45.0
320,45.0,45.0
321,45.0,45.0
322,45.0,45.0
323,45.0,45.0
324,45.0,45.0
325,45.0,45.0
326,45.0,45.0
327,45.0,45.0
328,45.0,45.0
329,45.0,45.0
330,45.0,45.0
331,45.0,45.0
332,45.0,45.0
333,45.0,45.0
334,45.0,45.0
335,45.0,45.0
336,45.0,45.0
337,45.0,45.0
338,45.0,45.0
339,45.0,45.0
340,45.0,45.0
341,45.0,45.0
342,45.0,45.0
343,45.0,45.0
344,45.0,45.0
345,45.0,45.0
346,45.0,45.0
347,45.0,45.0
348,45.0,45.0
349,45.0,45.0
350,45.0,45.0
351,45.0,45.0
352,45.0,45.0
353,45.0,45.0
354,45.0,45.0
355,45.0,45.0
356,45.0,45.0
357,45.0,45.0
358,45.0,45.0
359,45.0,45.0
360,45.0,45.0
361,45.0,45.0
362,45.0,45.0
363,45.0,45.0
364,45.0,45.0
365,45.0,45.0
366,45.0,45.0
367,45.0,45.0
