s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,45.0,45.0
1,45.0,45.0
2,45.0,45.0
3,45.0,45.0
4,45.0,45.0
5,59.8724,47.4163
6,59.8724,49.1897
7,58.2825,50.3414
8,50.9443,50.4101
9,50.9443,50.4648
10,49.1297,50.3409
11,45.0,49.8889
12,49.1297,49.8293
13,45.0,49.4794
14,57.0511,49.9884
15,49.1297,49.9337
16,65.1182,50.8078
17,65.1182,51.594
18,65.1182,52.3039
19,58.2825,52.6109
20,65.1182,53.2094
21,65.1182,53.7561
22,65.1182,54.2571
23,65.1182,54.7177
24,65.1182,55.1424
25,49.1297,55.3076
26,45.0,55.3076
27,49.1297,55.4722
28,45.0,55.4722
29,45.0,55.4722
30,47.7202,54.9708
31,45.0,54.3598
32,45.0,53.8124
33,42.6733,53.4774
34,45.0,53.233
35,45.0,53.0636
36,45.0,53.0636
37,49.1297,53.0636
38,45.0,53.0636
39,49.1297,52.7319
40,45.0,52.5617
41,45.0,51.7383
42,45.0,50.9203
43,50.7801,50.3482
44,45.0,49.8022
45,45.0,49.002
46,58.2825,48.7488
47,59.8724,48.5584
48,58.2825,48.309
49,65.1182,48.309
50,65.1182,48.9266
51,49.1297,49.0956
52,49.1297,49.0956
53,52.6751,49.4096
54,49.1297,49.5783
55,49.1297,49.6361
56,57.0511,50.1265
57,65.1182,50.9271
58,70.2638,52.0081
59,70.2638,53.01
60,70.2638,54.0234
61,65.1182,54.8508
62,65.1182,55.5128
63,57.0511,56.0085
64,65.1182,56.6705
65,58.2825,57.2127
66,45.0,57.2127
67,49.1297,57.3743
68,49.1297,57.3077
69,49.1297,57.4688
70,45.0,57.4688
71,45.0,56.9294
72,45.0,56.3198
73,45.0,55.7731
74,45.0,54.9435
75,45.0,54.1142
76,45.0,53.9455
77,45.0,53.7764
78,45.0,53.4577
79,45.0,53.2873
80,45.0,53.1165
81,45.0,52.6102
82,37.3249,51.4761
83,41.2146,50.3149
84,40.2688,49.1336
85,42.2798,48.054
86,43.7959,47.2183
87,43.7959,46.395
88,45.0,45.9146
89,39.7241,44.9484
90,42.2798,44.3247
91,45.0,44.3247
92,50.2696,44.3697
93,50.2696,44.4147
94,47.3267,44.3429
95,45.0,44.3429
96,45.0,44.3429
97,50.9443,44.5797
98,45.0,44.5797
99,58.2825,45.0955
100,58.2825,45.6157
101,50.9443,45.8557
102,45.0,45.8557
103,45.0,45.8557
104,45.0,45.8557
105,58.2825,46.3812
106,58.2825,46.9102
107,59.0362,47.7765
108,59.0362,48.4928
109,60.7148,49.3124
110,59.0362,49.9903
111,58.2825,50.579
112,59.0362,51.1981
113,59.0362,51.7695
114,58.2825,52.5141
115,57.0511,53.1089
116,59.0362,53.6767
117,58.2825,54.0032
118,60.7148,54.4277
119,52.0181,54.6166
120,45.0,54.6166
121,52.0181,54.8956
