s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,11.661903789690601,6.403803637048038,219.5181889824113,59.03624346792648,86.99978549052534
1,10.770329614269007,6.27442219906194,228.60411092451886,63.61741699078733,86.0
2,12.806248474865697,6.383276992806539,219.03687902215117,55.47328419025907,85.43359406099161
3,12.806248474865697,6.3993230754955635,214.2532630709673,51.05301012674814,85.0
4,8.48528137423857,6.469959131511449,231.7423891180259,49.74244054030503,84.50001056143428
5,8.48528137423857,6.530183871522812,243.40180648273164,48.89548753023663,83.56640678467653
6,8.48528137423857,6.535647529990879,251.72996174323572,48.30406745309454,82.99878954549285
7,8.48528137423857,6.51397282456537,257.97607818861377,47.868035636499016,81.99754112958522
8,8.48528137423857,6.380404022872062,262.8341687572412,47.53340612016124,81.49488839282687
9,8.246211251235321,6.384427993927058,267.5953118861677,50.16110385815898,80.93558767539585
10,11.313708498984761,6.484635702641071,263.8388444401248,49.65420031188599,80.99946695214052
11,11.313708498984761,6.557842249119413,260.7084549017556,49.23730041816826,80.96483712958467
12,11.313708498984761,6.4368572017255765,258.05966375390483,48.888525819545976,80.9374568231396
13,10.0,6.684322883245774,257.9125449143402,49.21125743665489,81.00349685397875
14,10.0,6.845444898607916,257.78504192005084,49.488596205764736,80.99997985740191
15,10.0,6.843890874919137,257.67347680004764,49.72944713416555,80.56259279936178
16,10.0,6.747214983144519,257.57503698828015,49.94053825553637,79.99072091930033
17,10.0,6.619711537356386,257.4875349333757,50.12704513385876,78.49045667426402
18,10.0,6.391744937499228,257.40924362109274,50.29301277330562,77.9377112771798
19,8.48528137423857,6.4817122471336415,259.6237261053511,50.01666679263613,77.20705572780194
20,8.48528137423857,6.6366390611826365,261.6273054958706,49.7674908687573,75.98705988465314
21,8.48528137423857,6.725472153730643,263.44874130543377,49.541698484840815,75.86726103438941
22,8.48528137423857,6.830780676991064,265.11179139242626,49.33617008003375,76.0
23,8.48528137423857,6.976917723238742,266.6362539721693,49.14831347468992,75.0
24,8.48528137423857,7.020037599571583,268.03875954553297,48.975957689539776,73.96895642570965
25,8.48528137423857,7.010183352883377,271.3259877184869,48.401144051217564,73.0
26,8.48528137423857,7.012237949383199,273.88634213607224,47.50904609720942,72.4375
27,8.48528137423857,6.980049205601374,277.95820125962604,47.76412822722309,72.00010452084454
28,8.48528137423857,6.980599048840836,282.03006038317983,48.01825929353545,71.49762804511676
29,8.48528137423857,6.968122366714195,282.03006038317983,48.01825929353545,71.02011990802589
30,8.48528137423857,6.970975461275304,282.03006038317983,48.01825929353545,70.53453538960093
31,10.0,6.996687294526754,280.2021046509294,47.69491643709935,70.45331276901703
32,10.0,7.177625140671247,278.374148918679,47.36980905539509,70.53632419912839
33,10.0,7.226729518555935,276.5461931864286,47.04300707151706,71.07947534759836
34,10.0,7.170583999900488,274.36836918456834,45.65203446917499,71.00882126432369
35,10.0,7.119805323116889,275.55740238538056,45.32659045731967,71.06159722248276
36,10.0,7.021817842121132,276.7464355861928,45.0,70.99619330109412
37,10.0,6.919976689454062,277.93546878700494,44.672342346527934,71.27403051064192
38,8.94427190999916,6.826740915546833,279.1441368318039,45.04711819724377,71.99458811257003
39,8.94427190999916,6.833737818514447,280.35280487660276,45.426840940894664,71.53479747845476
40,8.94427190999916,6.825012167307829,281.56147292140173,45.811473112040204,71.2206093293583
41,8.94427190999916,6.863743107225365,282.77014096620064,46.20096919267012,71.00168456188187
42,8.94427190999916,6.92900693597451,283.97880901099956,46.5952753161623,70.29997632143896
43,8.94427190999916,6.895705951507802,285.18747705579847,46.9943289902846,69.97529034755253
44,8.94427190999916,6.879897636628643,284.568189368347,47.7433532947425,68.94269709212652
