s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,52.6751,52.6751
1,52.6751,52.6751
2,52.6751,52.6751
3,52.6751,52.6751
4,49.1297,51.9669
5,45.0,50.8109
6,49.0651,50.5605
7,50.9443,50.6087
8,50.9443,50.6461
9,50.9443,50.676
10,49.1297,50.5351
11,49.1297,50.4177
12,53.4434,50.6507
13,49.1297,50.5418
14,52.6751,50.6843
15,52.6751,50.809
16,55.6755,51.0949
17,55.6755,51.3493
18,52.6751,51.4193
19,55.6755,51.6322
20,52.6751,51.6821
21,52.6751,51.7274
22,52.5342,51.7626
23,52.6751,51.8007
24,49.1297,51.6937
25,49.1297,51.5515
26,49.1297,51.4092
27,52.5342,51.4036
28,49.1297,51.2613
29,49.1297,51.2613
30,65.1182,52.0484
31,65.1182,52.6792
32,65.1182,53.2386
33,59.0362,53.5655
34,59.0362,53.8927
35,59.0362,54.2932
36,60.7148,54.7606
37,52.0181,54.7028
38,52.0181,54.8189
39,60.7148,55.1439
40,52.0181,55.1173
41,59.0362,55.2534
42,59.0362,55.3897
43,59.0362,55.6479
44,60.7148,55.8519
45,59.0362,56.1103
46,60.7148,56.4364
47,59.0362,56.7004
48,59.0362,56.9586
49,59.0362,57.357
50,60.7148,57.8221
51,52.0181,57.9353
52,52.0181,57.9148
53,52.0181,58.0279
54,59.0362,58.4224
55,59.0362,58.1794
56,59.0362,57.937
57,59.0362,57.6951
58,50.9443,57.3715
59,53.4434,57.1466
60,55.278,56.9952
61,52.6751,56.6722
62,52.6751,56.6984
63,52.6751,56.7246
64,52.2462,56.3845
65,54.4666,56.4825
66,54.4666,56.2986
67,54.4666,56.1148
68,56.426,56.0099
69,52.6751,55.6874
70,52.6751,55.4319
71,52.6751,55.1098
72,55.6755,54.9751
73,52.6751,54.72
74,52.6751,54.4651
75,52.6751,54.1444
76,55.9692,54.3029
77,57.0511,54.5047
78,65.1182,55.0221
79,59.8724,55.0553
80,58.2825,55.0252
81,60.7148,55.0919
82,60.7148,55.1585
83,59.8724,55.5167
84,59.0362,55.7416
85,64.9028,56.1238
86,65.1182,56.6206
87,65.1182,57.1188
88,69.0064,57.7672
89,60.7148,58.1091
90,52.0181,58.0112
91,52.0181,57.9132
92,52.0181,57.815
93,52.0181,57.6374
94,60.7148,57.9629
95,65.1182,58.4647
96,65.1182,58.9667
97,58.2825,59.0724
98,59.8724,59.3625
99,58.2825,59.5875
100,59.0362,59.8426
101,59.0362,59.9663
102,59.0362,60.0465
103,59.0362,59.8015
104,59.0362,59.7676
105,54.2175,59.6044
106,59.0362,59.5364
107,59.0362,59.4685
108,60.7148,59.5026
109,60.7148,59.5705
110,52.0181,59.0532
111,60.7148,58.8767
112,52.0181,58.3509
113,59.0362,57.9582
114,65.1182,58.1334
115,65.1182,58.6582
116,50.9443,58.6162
117,53.4434,58.6726
118,49.1297,58.5604
119,49.1297,58.0976
120,53.4434,57.6283
121,53.4434,57.16
122,53.4434,56.9645
123,53.4434,56.7048
124,52.5342,56.4727
125,65.1182,56.7142
126,64.9028,56.9481
127,53.4434,56.7213
128,59.0362,56.7213
129,59.0362,56.7213
130,59.0362,56.9168
131,59.0362,56.9168
132,50.1944,56.5599
133,49.0651,56.0899
134,49.0651,55.6192
135,49.0651,55.5008
136,49.0651,55.0294
137,45.0,54.7508
138,49.0651,54.3456
139,49.0651,53.7027
140,49.0651,53.0633
141,49.0651,52.9874
142,49.0651,52.8098
143,45.0,52.6452
144,45.0,52.4802
145,53.4434,52.4802
146,50.9443,52.3784
147,49.0651,52.2002
148,52.3382,52.1552
149,59.0362,52.4178
150,59.0362,52.1847
151,59.0362,51.9608
152,55.4623,52.0424
153,45.0,51.4784
154,54.2175,51.2865
155,54.2175,51.095
156,52.3382,50.8284
157,39.0557,50.3901
158,45.0,50.2264
159,45.0,50.0625
160,45.0,49.8984
161,47.1716,49.8217
162,48.7854,49.9745
163,48.7854,49.9631
164,49.3078,49.973
165,48.7854,49.9616
166,48.7854,49.9503
167,49.3078,49.9601
168,49.3078,50.134
169,49.3078,50.3076
170,49.3078,50.1401
171,48.7854,50.0526
172,52.6751,50.1989
173,48.7854,50.0549
174,53.4434,49.8341
175,53.4434,49.6141
176,59.0362,49.6141
177,60.7148,49.8172
178,59.0362,50.3791
179,60.7148,50.6346
180,60.7148,50.8911
181,52.0181,50.8781
182,59.8724,51.7049
183,52.0181,51.9874
184,52.0181,52.2692
185,60.7148,52.8986
186,60.7148,53.4428
187,52.0181,53.5731
188,52.0181,53.7033
189,52.0181,53.8124
190,52.0181,53.9424
191,52.0181,54.0722
192,58.2825,54.4339
193,49.0651,54.4242
194,49.0651,54.4146
195,50.9443,54.48
196,49.0651,54.4911
197,50.9443,54.4214
198,58.2825,54.8036
199,59.0362,55.0293
200,52.0181,54.9718
201,59.0362,54.9718
202,59.0362,54.9049
203,52.0181,54.6218
204,52.0181,54.2724
205,52.0181,53.9236
206,60.7148,54.2724
207,58.2825,54.2091
208,58.2825,54.4616
209,58.2825,54.7141
210,58.2825,54.6173
211,58.2825,54.5206
212,58.2825,54.7729
213,58.2825,55.0253
214,58.2825,55.2777
215,59.0362,55.5603
216,58.2825,55.8127
217,58.2825,55.8127
218,59.0362,56.212
219,45.0,56.0563
220,54.2175,56.1874
221,45.0,56.0314
222,50.0623,55.9964
223,52.3382,55.7564
224,45.0,55.1975
225,45.0,54.9206
226,45.0,54.3575
227,45.0,53.7926
228,45.0,53.5114
229,45.0,53.2292
230,40.9349,52.7894
231,45.0,52.1521
232,47.3818,51.7075
233,54.2175,51.5431
234,52.0181,51.2891
235,45.0,50.7502
236,45.0,50.2119
237,45.0,49.6747
238,45.0,49.1388
239,45.0,48.6047
240,45.0,48.0441
241,45.0,47.5149
242,45.0,46.9884
243,45.0,46.4375
244,45.0,46.4375
245,39.9377,45.869
246,50.0623,46.0721
247,45.0,45.869
248,40.0671,45.3792
249,39.8056,45.1715
250,39.8056,44.9635
251,39.8056,44.7553
252,40.9349,44.5918
253,40.0671,44.3936
254,30.9638,43.8447
255,39.9377,43.8046
256,39.9377,43.6
257,45.0,43.5039
258,45.0,43.1415
259,45.0,42.8642
260,45.0,42.8642
261,45.0,42.8642
262,45.0,42.8642
263,45.0,42.8642
264,45.0,42.8642
265,45.0,42.8642
266,45.0,42.8642
267,45.0,42.8642
268,45.0,42.8642
269,45.0,42.8642
270,45.0,43.068
271,45.0,42.8668
272,45.0,42.8668
273,45.0,43.0652
274,45.0,43.274
275,45.0,43.4827
276,45.0,43.6913
277,45.0,43.8546
278,39.9377,43.8495
279,34.5377,43.9823
280,34.5377,43.7714
281,34.5377,43.5597
