s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,65.1182,65.1182
1,65.1182,65.1182
2,65.1182,65.1182
3,65.1182,65.1182
4,65.1182,65.1182
5,65.1182,65.1182
6,65.1182,65.1182
7,65.1182,65.1182
8,65.1182,65.1182
9,65.1182,65.1182
10,70.2638,65.5841
11,59.8724,65.1099
12,59.8724,64.7078
13,59.8724,64.3625
14,58.2825,63.958
15,58.2825,63.6034
16,59.8724,63.3831
17,59.8724,63.1873
18,45.0,62.2785
19,45.0,61.4464
20,45.0,60.6828
21,45.0,59.9807
22,45.0,59.3335
23,45.0,58.7357
24,59.8724,58.7831
25,45.0,57.9658
26,45.0,57.1437
27,45.0,56.3182
28,59.8724,56.1036
29,45.0,55.2773
30,45.0,54.4506
31,45.0,53.6249
32,52.0181,53.0907
33,45.0,52.2715
34,52.0181,51.7458
35,52.0181,51.0473
36,52.0181,50.7306
37,52.0181,50.4152
38,52.0181,50.1012
39,45.0,49.5646
40,45.0,49.0295
41,52.0181,48.7205
42,45.0,48.1294
43,52.0181,48.4131
44,52.0181,48.6969
45,58.2825,49.2286
46,59.8724,49.8232
47,58.2825,50.3583
48,58.2825,50.8943
49,65.1182,51.0911
50,65.1182,51.8918
51,65.1182,52.6975
52,60.7148,53.3357
53,59.0362,53.3021
54,59.0362,53.8723
55,65.1182,54.6817
56,59.0362,55.2492
57,59.0362,55.5364
58,59.0362,56.1006
59,60.7148,56.4551
60,52.0181,56.4551
61,52.0181,56.4551
62,52.0181,56.4551
63,52.0181,56.4551
64,52.0181,56.7298
65,52.0181,57.0029
66,52.0181,57.0029
67,52.0181,57.2745
68,52.0181,57.2745
69,52.0181,57.2745
70,52.0181,57.0214
71,52.0181,56.7038
72,45.0,56.1759
73,52.0181,55.9214
74,58.2825,55.6497
75,59.8724,55.4432
76,50.9443,54.8771
77,45.0,54.2492
78,52.0181,53.9657
79,52.0181,53.6825
80,52.0181,53.1657
81,52.0181,52.8842
82,52.0181,52.6032
83,52.0181,52.3227
84,52.0181,51.978
85,52.0181,51.978
86,45.0,51.6983
87,58.2825,51.9483
88,59.8724,52.2611
89,58.2825,52.5123
90,58.2825,52.7638
91,58.2825,53.0158
92,45.0,52.7358
93,52.0181,52.7358
94,45.0,52.4549
95,60.7148,52.8036
96,60.7148,53.1532
97,52.0181,53.4338
98,59.0362,53.7175
99,60.7148,53.8144
100,60.7148,53.8478
101,52.0181,53.8913
102,45.0,53.8913
103,45.0,53.6111
104,52.0181,53.6111
105,45.0,53.3299
106,50.0623,53.2503
107,50.0623,53.1707
108,59.0362,53.4558
109,52.3382,53.4689
110,52.3382,53.482
111,48.5625,53.6233
112,52.3382,53.3817
113,49.9329,52.9792
114,52.3382,52.7383
115,45.0,52.2022
116,52.3382,51.9621
117,45.0,51.9621
118,45.0,51.6788
119,45.0,51.6788
120,49.0651,51.2111
121,49.0651,50.7454
122,45.0,50.4619
123,50.1944,50.1086
124,52.3382,49.7796
125,55.4623,49.5768
126,55.4623,49.7143
127,50.1944,49.9231
128,50.1944,50.1315
129,50.1944,50.0581
130,49.0651,50.2208
131,50.9443,50.2564
132,50.9443,50.2919
133,50.9443,49.9719
134,50.9443,49.9159
135,50.9443,49.86
136,50.9443,49.9557
137,49.0651,49.8242
138,58.2825,50.1556
139,58.2825,50.391
140,58.2825,50.9218
141,58.2825,51.1588
142,52.0181,51.4401
143,59.0362,52.0011
144,52.0181,52.2814
145,45.0,52.1201
146,52.0181,52.2391
147,45.0,52.2391
148,58.2825,52.5639
149,58.2825,52.8026
150,58.2825,52.9155
151,52.0181,52.7763
152,52.0181,52.8499
153,45.0,52.6435
154,52.0181,52.7172
155,45.0,52.5558
156,45.0,52.3181
157,45.0,52.0799
158,45.0,51.841
159,45.0,51.6016
160,45.0,51.3617
161,45.0,51.1213
162,45.0,50.9572
163,45.0,50.4201
164,45.0,49.884
165,45.0,49.349
166,47.3818,48.912
167,45.0,48.6276
168,52.0181,48.352
169,45.0,48.0682
170,45.0,48.0682
171,45.0,47.7846
172,45.0,47.7846
173,46.3013,47.3098
174,40.9349,46.6231
175,45.0,46.1022
176,40.0671,45.6254
177,39.9377,45.1438
178,35.7825,44.7795
179,45.0,44.5004
180,52.0181,44.7795
181,50.9443,45.017
182,58.2825,45.5354
183,58.2825,46.0578
184,58.2825,46.584
185,45.0,46.584
186,45.0,46.584
187,58.2825,47.1137
188,59.8724,47.7067
189,45.0,47.7067
190,52.0181,47.9938
191,45.0,47.8963
192,42.6182,47.7995
193,45.0,47.5122
194,45.0,47.5122
195,45.0,47.5122
196,45.0,47.5122
197,45.0,47.5122
198,45.0,47.4589
199,45.0,47.6235
200,45.0,47.6235
201,45.0,47.8221
202,45.0,48.0253
203,45.0,48.3862
204,45.0,48.3862
205,45.0,48.1009
206,39.9377,47.6563
207,45.0,47.1257
208,45.0,46.5982
209,45.0,46.0741
210,45.0,46.0741
211,45.0,46.0741
212,45.0,45.5538
213,45.0,44.9813
214,45.0,44.9813
215,45.0,44.7032
216,45.0,44.7032
217,45.0,44.7984
218,41.4375,44.6561
219,42.6182,44.5608
220,40.9349,44.3984
221,45.0,44.3984
222,42.6733,44.3053
223,45.0,44.3053
224,43.7276,44.2543
225,43.6987,44.2022
226,42.6733,44.109
227,39.7241,43.8983
228,39.7241,43.6874
229,39.8056,43.4796
230,41.4375,43.3369
231,34.5377,43.1252
232,39.9377,42.9222
233,45.0,42.9222
