s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,47.5897,47.5897
1,49.9564,48.773
2,49.6191,49.0552
3,53.588,50.1872
4,51.213,50.3928
5,55.6755,51.2722
6,52.6751,51.4733
7,52.6751,51.624
8,49.1297,51.3463
9,49.1297,51.1241
10,45.0,50.5688
11,50.2696,50.5437
12,45.0,50.1176
13,45.0,49.7517
14,49.0651,49.7057
15,45.0,49.411
16,47.3267,49.2878
17,45.0,49.049
18,47.3267,48.9578
19,52.6751,49.1443
20,48.7854,49.1271
21,52.6751,49.2889
22,48.7854,49.2669
23,48.7854,49.2468
24,48.7854,49.2282
25,49.1297,49.2901
26,49.1297,49.2569
27,49.1297,49.2372
28,50.2696,49.1045
29,50.9012,49.092
30,50.2696,48.8773
31,50.2696,48.7812
32,48.7854,48.6256
33,45.0,48.4603
34,50.2696,48.506
35,45.0,48.506
36,45.0,48.2948
37,46.2041,48.343
38,45.0,48.343
39,45.8655,48.2147
40,45.9763,48.2537
41,48.4487,48.2987
42,49.3078,48.4712
43,48.7854,48.5297
44,48.7854,48.3743
45,49.1297,48.3881
46,47.1716,48.1682
47,48.7854,48.1682
48,48.7854,48.1682
49,48.7854,48.1682
50,52.6751,48.3096
51,49.1297,48.3096
52,49.1297,48.3096
53,49.1297,48.264
54,50.7801,48.2591
55,50.7801,48.2795
56,49.1297,48.2339
57,49.1297,48.2477
58,49.1297,48.413
59,49.1297,48.3673
60,52.5342,48.6685
61,49.1297,48.8336
62,52.5342,49.0867
63,49.1297,49.2516
64,49.1297,49.3821
65,49.1297,49.508
66,49.0651,49.5327
67,58.2825,49.8873
68,58.2825,50.264
69,58.2825,50.6419
70,45.0,50.4771
71,59.0362,50.95
72,52.0181,51.0802
73,52.0181,51.2104
74,58.2825,51.5906
75,58.2825,51.8147
76,58.2825,52.1823
77,59.0362,52.5802
78,59.0362,52.9787
79,59.0362,53.3112
80,59.0362,53.6442
81,59.0362,54.0438
82,59.0362,54.4433
83,59.0362,54.8428
84,58.2825,55.2116
85,59.0362,55.4743
86,59.0362,55.8728
87,60.7148,56.2028
88,52.0181,56.3173
89,52.0181,56.4317
90,59.8724,56.8619
91,58.2825,57.2296
92,58.2825,57.2296
93,58.2825,57.2296
94,58.2825,57.2296
95,58.2825,57.7482
96,58.2825,57.718
97,50.9443,57.6759
98,50.9443,57.6337
99,31.7175,56.6884
100,49.0651,56.3156
101,45.0,55.7836
102,45.0,55.2179
103,45.0,54.6497
104,45.0,54.0795
105,45.0,53.5076
106,49.0651,53.0985
107,49.0651,52.6897
108,49.0651,52.2815
109,50.1944,51.9506
110,50.3098,51.5949
111,52.6751,51.3372
112,49.0651,50.867
113,49.0651,50.7461
114,58.2825,50.9995
115,58.2825,50.9369
116,58.2825,50.9369
117,58.2825,50.9369
118,50.9443,50.6399
119,50.9443,50.3437
120,50.9443,50.0484
121,58.2825,50.0484
122,50.9443,50.0484
123,52.3382,50.1052
124,50.1944,50.8028
125,45.0,50.6398
126,45.0,50.6398
127,45.0,50.6398
128,46.3013,50.6917
129,46.3013,50.7435
130,45.0,50.7435
131,49.0651,50.7435
132,49.0651,50.7435
133,54.2175,50.9517
134,52.0181,51.0255
135,54.2175,51.1834
136,45.0,50.8744
137,45.0,50.7112
138,45.0,50.5477
139,45.0,50.0144
140,45.0,49.4821
141,45.0,48.9514
142,45.0,48.4225
143,45.0,48.1831
144,49.1297,48.11
145,52.6751,48.1793
146,49.1297,47.8192
147,49.1297,47.7464
148,45.0,47.4521
149,45.0,47.2434
150,45.0,47.2434
151,50.9443,47.4821
152,45.0,47.4821
153,45.0,47.4298
154,45.0,47.3775
155,45.0,47.3775
156,45.0,47.214
157,45.0,47.0506
158,47.1716,46.7703
159,47.1716,46.5768
160,47.1716,46.2978
161,48.7854,46.4495
162,48.7854,46.6012
163,52.6751,46.9075
164,52.6751,47.2143
165,45.0,47.2143
166,49.0651,47.3775
167,53.4434,47.715
168,52.3382,48.0092
169,50.1944,48.0519
170,49.0651,47.9076
171,50.3098,47.955
172,49.1297,47.955
173,52.6751,48.2625
174,52.6751,48.5703
175,50.2696,48.7817
176,52.6751,48.8509
177,49.1297,49.0165
178,50.2696,49.2278
179,50.2696,49.4388
180,52.6751,49.7461
181,50.2696,49.9567
182,50.9012,50.1924
183,50.9012,50.3418
184,50.2696,50.4657
185,49.0651,50.5414
186,49.0651,50.5525
187,49.0651,50.5637
188,50.9443,50.4944
189,58.2825,50.7157
190,58.2825,51.244
191,45.0,51.0826
192,45.0,50.745
193,45.0,50.4513
194,45.0,50.2435
195,45.0,50.0808
196,45.0,49.8678
197,50.9443,49.941
198,50.9443,49.8714
199,52.0181,49.845
200,54.2175,50.0035
201,59.0362,50.2546
202,50.9443,50.3279
203,52.3382,50.4114
204,45.0,50.1997
205,45.0,49.8905
206,45.0,49.6782
207,45.0,49.4402
208,45.0,49.2019
209,45.0,48.989
210,42.6733,48.7318
211,42.8284,48.4804
212,42.8284,48.2285
213,41.9729,47.866
214,41.9729,47.2153
215,41.9729,46.5676
216,41.9729,46.4458
217,41.9729,46.324
218,41.9729,46.202
219,42.8284,46.1143
220,42.6733,46.0203
221,45.0,46.0203
222,45.0,45.7805
223,45.0,45.541
224,45.0,45.2594
225,45.0,44.8933
226,45.0,44.3524
227,45.0,44.1163
228,45.0,43.8269
229,45.0,43.8269
230,45.0,43.8269
231,40.0671,43.6298
232,40.0671,43.4325
233,45.0,43.4325
234,45.0,43.4325
235,45.0,43.5257
236,39.9377,43.4102
237,39.9377,43.2947
238,45.0,43.416
239,37.9819,43.2572
240,45.0,43.3786
241,34.5377,43.0853
242,30.9638,42.6558
243,34.5377,42.3598
244,34.5377,42.0284
245,34.5377,41.7024
246,40.0671,41.503
247,30.9638,40.9432
248,39.9377,40.7385
249,34.5377,40.3165
250,30.9638,39.7536
251,30.9638,39.1894
252,34.5377,38.7664
253,34.5377,38.3438
254,45.0,38.3438
255,45.0,38.3438
256,45.0,38.5421
257,45.0,38.7408
258,45.0,38.7408
259,45.0,38.7408
260,45.0,38.7408
261,45.0,38.945
262,45.0,39.1497
263,45.0,39.1497
264,45.0,39.4345
265,45.0,39.4345
266,45.0,39.8592
267,45.0,40.4245
268,45.0,40.8483
269,45.0,41.2716
270,45.0,41.6943
271,39.9377,41.689
272,39.9377,42.043
273,45.0,42.2481
274,45.0,42.668
275,45.0,43.2217
276,39.9377,43.5681
277,39.9377,43.7795
278,39.9377,43.9901
279,31.7175,43.4705
280,45.0,43.4705
281,45.0,43.4705
282,45.0,43.4705
283,45.0,43.4705
284,45.0,43.4705
285,45.0,43.4705
286,45.0,43.4705
287,45.0,43.4705
288,45.0,43.4705
289,45.0,43.4705
290,45.0,43.4705
291,39.9377,43.2672
292,41.4375,43.1239
293,41.4375,42.9806
294,41.4375,42.8373
295,41.4375,42.6941
296,41.4375,42.7543
297,34.5377,42.541
298,41.4375,42.3977
299,39.9377,42.194
300,39.9377,41.9903
301,45.0,42.194
302,45.0,42.3977
303,45.0,42.6013
304,45.0,43.1244
305,45.0,43.1244
306,45.0,43.1244
307,45.0,43.1244
308,45.0,43.1244
309,45.0,43.1244
310,45.0,43.1244
311,45.0,43.1244
312,45.0,43.1244
313,45.0,43.1244
314,45.0,43.1244
315,45.0,43.1244
316,45.0,43.3274
317,45.0,43.4703
318,45.0,43.6133
319,45.0,43.7563
320,45.0,43.8992
321,45.0,44.0421
