s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,48.7854,48.7854
1,48.7854,48.7854
2,52.6751,50.0811
3,52.6751,50.7303
4,52.6751,51.1198
5,49.1297,50.7877
6,49.1297,50.5504
7,49.1297,50.3726
8,49.1297,50.2343
9,49.1297,50.1237
10,49.1297,50.0332
11,49.1297,49.9578
12,45.0,49.5774
13,49.1297,49.5453
14,49.1297,49.5176
15,49.1297,49.4933
16,49.1297,49.4718
17,49.1297,49.4528
18,49.1297,49.4358
19,53.4434,49.6359
20,50.9443,49.6983
21,49.1297,49.6724
22,53.4434,49.8363
23,53.4434,49.9865
24,50.9443,50.0249
25,49.1297,50.0387
26,49.1297,50.0525
27,45.0,49.7459
28,58.2825,49.9663
29,58.2825,50.1874
30,58.2825,50.5518
31,65.1182,51.174
32,49.1297,51.174
33,49.1297,51.174
34,49.1297,51.174
35,45.0,51.0086
36,49.1297,51.0086
37,49.1297,51.174
38,49.1297,51.174
39,49.1297,51.174
40,49.1297,51.174
41,49.1297,51.174
42,49.1297,51.174
43,49.1297,51.174
44,49.1297,50.9996
45,49.1297,50.9262
46,49.1297,50.9262
47,49.1297,50.7517
48,49.1297,50.5773
49,50.2696,50.55
50,49.1297,50.55
51,49.0651,50.5474
52,52.3382,50.8427
53,59.0362,50.8721
54,59.0362,50.9015
55,59.0362,50.9309
56,59.0362,50.7043
57,59.0362,51.0998
58,59.0362,51.4966
59,58.2825,51.8646
60,49.0651,52.0267
61,49.1297,52.0267
62,52.5342,52.1642
63,52.6751,52.3074
64,50.9012,52.3788
65,50.7033,52.4421
66,50.5018,52.4974
67,49.5097,52.5126
68,51.213,52.5965
69,48.7725,52.5822
70,51.213,52.666
71,49.6191,52.6857
72,49.6191,52.7053
73,52.6751,52.8481
74,52.6751,52.9451
75,52.6751,53.0877
76,52.6751,53.2329
77,53.4434,53.2774
78,53.4434,53.0535
79,50.9443,52.7294
80,58.2825,52.6997
81,52.0181,52.4195
82,59.0362,52.4195
83,52.0181,52.1398
84,52.0181,51.8903
85,52.0181,52.0086
86,52.0181,52.1243
87,52.0181,52.1036
88,59.0362,52.3564
89,58.2825,52.6515
90,49.0651,52.5859
91,49.1297,52.531
92,45.0,52.3527
93,45.0,52.1054
94,49.0651,52.1171
95,58.2825,52.4005
96,58.2825,52.7484
97,52.0181,52.845
98,52.0181,52.8184
99,52.0181,52.7919
100,52.0181,52.7654
101,52.0181,52.7389
102,52.0181,52.6814
103,52.0181,52.6239
104,45.0,52.3872
105,37.9819,51.5895
106,45.0,51.3068
107,45.0,50.743
108,45.0,50.4595
109,52.0181,50.4595
110,52.0181,50.4595
111,45.0,50.1757
112,45.0,49.8915
113,45.0,49.329
114,58.2825,49.329
115,58.2825,49.6979
116,59.0362,50.095
117,59.0362,50.6607
118,59.0362,51.2274
119,59.0362,51.6311
120,59.0362,51.661
121,59.0362,51.6909
122,59.0362,51.975
123,59.0362,52.2599
124,59.0362,52.5454
125,52.0181,52.5454
126,45.0,52.2605
127,45.0,51.9748
128,52.0181,51.9748
129,45.0,51.9748
130,45.0,52.2429
131,52.0181,52.5271
132,50.9443,52.7668
133,50.9443,53.0057
134,58.2825,53.2604
135,58.2825,53.5155
136,58.2825,54.0518
137,52.0181,54.3318
138,52.0181,54.6106
139,59.0362,54.6409
140,50.1944,54.3131
141,50.1944,53.9549
142,50.1944,53.597
143,49.0651,53.1939
144,50.2696,52.8398
145,52.6751,52.5836
146,50.2696,52.2306
147,47.3267,51.7599
148,50.2696,51.4085
149,45.0,50.8468
150,53.3496,50.9006
151,50.3098,51.1134
152,49.0651,51.2756
153,49.0651,51.1565
154,50.1944,51.3641
155,50.1944,51.5713
156,52.3382,51.5842
157,50.0623,51.5487
158,52.0181,51.5919
159,52.0181,51.3423
160,52.0181,51.0932
161,52.0181,50.8447
162,52.0181,50.8447
163,52.0181,50.8447
164,52.0181,50.5679
165,45.0,50.3609
166,52.0181,50.4341
167,54.2175,50.595
168,58.2825,50.9616
169,59.0362,51.3101
170,50.9443,51.2405
171,50.1944,51.2374
172,46.3013,51.1967
173,50.2759,51.1969
174,51.0474,51.4381
175,53.3496,51.4381
176,50.1944,51.4335
177,52.3382,51.5649
178,45.0,51.4036
179,49.1297,51.3608
180,45.0,51.1537
181,49.1297,51.0245
182,50.9443,51.0601
183,50.9443,51.0168
184,59.0362,51.2957
185,59.0362,51.5754
186,58.2825,51.8262
187,59.0362,52.1073
188,58.2825,52.3592
189,59.0362,52.6414
190,58.2825,53.1747
191,50.9443,53.1312
192,58.2825,53.295
193,53.4434,53.0999
194,50.9443,52.7739
195,57.0511,53.0206
196,58.2825,53.3471
197,58.2825,53.8285
198,58.2825,54.1517
199,58.2825,54.4439
200,50.9443,54.3468
201,58.2825,54.6734
202,58.2825,54.9138
203,59.0362,55.4729
204,45.0,55.3129
205,58.2825,55.8403
206,45.0,55.6811
207,49.0651,55.6066
208,49.0651,55.5319
209,49.0651,55.1303
210,45.0,54.5692
211,45.0,54.0364
212,50.1944,53.6782
213,59.0362,53.7084
214,60.7148,53.7752
215,59.0362,53.8054
216,59.0362,54.1336
217,59.0362,54.1639
218,54.2175,54.1954
219,59.0362,54.5239
220,59.0362,54.6041
221,50.1944,54.2756
222,50.1944,53.9471
223,50.1944,53.6186
224,52.3382,53.3773
225,48.5625,53.2811
226,48.5625,52.887
227,48.5625,52.4932
228,48.5625,52.0698
229,48.5625,52.212
230,48.5625,51.8194
231,48.5625,51.9617
232,52.3382,52.0943
233,50.0623,52.1346
234,49.9329,52.1697
235,49.9329,52.3666
236,50.0623,52.5683
237,45.0,52.3613
238,52.0181,52.0797
239,45.0,51.4522
240,45.0,50.8906
241,45.0,50.3299
242,45.0,49.7704
243,45.0,49.4003
244,45.0,48.8433
245,45.0,48.2887
246,45.0,48.0805
247,45.0,47.8721
248,39.9377,47.4638
249,39.9377,46.9692
250,39.9377,46.6246
251,30.9638,45.9429
252,37.6618,45.5055
253,39.0557,45.122
254,39.0557,44.7381
255,30.9638,44.0423
256,39.0557,43.6564
257,39.0557,43.1218
258,45.0,42.9186
259,40.9349,42.556
260,31.7175,41.8289
261,39.0557,41.3867
262,45.0,41.3867
263,45.0,41.1119
264,45.0,41.1119
265,39.0557,40.8718
266,39.0557,40.6318
267,39.0557,40.392
268,41.6055,40.2555
269,45.0,40.2555
270,45.0,40.2555
271,40.0671,40.057
272,40.0671,39.8588
273,40.0671,39.864
274,34.5377,39.647
275,40.0671,39.6522
276,39.9377,40.0089
277,45.0,40.3039
278,45.0,40.5431
279,39.9377,40.5786
280,47.3818,41.2308
281,39.0557,41.2308
282,39.0557,41.2308
283,37.9819,40.9486
284,31.7175,40.5827
285,40.9349,40.9486
286,45.0,41.1877
287,45.0,41.1877
288,31.7175,40.6586
289,31.7175,40.1279
290,39.0557,40.1279
291,39.0557,40.1279
292,40.9349,40.2039
293,31.7175,39.8083
294,31.7175,39.2753
295,31.7175,38.7417
296,30.9638,38.3759
297,45.0,38.5741
298,35.7825,38.4001
299,45.0,38.8229
300,35.7825,38.6488
301,30.9638,38.2869
302,30.9638,37.7207
303,30.9638,37.1548
304,30.9638,36.7912
305,30.9638,36.1348
306,30.9638,35.807
307,30.9638,35.4789
308,30.9638,35.1941
309,30.9638,35.1637
310,30.9638,34.7602
311,30.9638,34.1996
312,30.9638,33.6419
313,30.9638,33.6115
314,34.5377,33.7256
315,39.9377,33.7606
316,39.9377,33.7956
317,45.0,33.952
318,39.9377,34.2839
319,45.0,34.8144
320,45.0,35.3472
321,45.0,35.9126
322,45.0,35.9126
323,45.0,36.2837
324,45.0,36.2837
325,34.5377,36.2328
326,34.5377,36.3779
327,34.5377,36.5227
328,34.5377,36.6674
329,34.5377,36.8119
330,34.5377,36.9561
331,34.5377,37.1002
332,45.0,37.6667
333,39.9377,38.0297
334,34.5377,38.1727
335,34.5377,38.3153
336,45.0,38.8801
337,45.0,39.4443
338,45.0,40.0073
339,45.0,40.4292
340,45.0,40.6339
341,45.0,40.8387
342,45.0,40.8387
343,45.0,41.0436
344,45.0,41.0436
345,45.0,41.0436
346,45.0,41.0436
347,45.0,41.0436
348,45.0,41.0436
349,45.0,41.0436
350,45.0,41.4654
351,45.0,41.8865
352,45.0,42.3066
353,45.0,42.7256
