s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,52.2462,52.2462
1,47.1716,49.7089
2,50.2759,49.8984
3,55.6755,51.3419
4,52.6751,51.6097
5,53.4434,51.9164
6,49.1297,51.5172
7,65.1182,53.1816
8,65.1182,54.5001
9,49.1297,53.9542
10,49.1297,53.5082
11,65.1182,54.4743
12,55.6755,54.5689
13,50.6961,54.2868
14,49.6191,53.97
15,49.6191,53.6933
16,49.6191,53.4494
17,50.2759,53.27
18,49.3731,53.0615
19,45.0,52.6556
20,49.1297,52.4848
21,49.1297,52.3297
22,49.1297,52.1883
23,50.7801,52.1286
24,50.7801,52.0738
25,49.1297,51.9472
26,49.1297,52.0261
27,49.1297,51.9796
28,49.1297,51.714
29,57.0511,51.8908
30,45.0,51.5495
31,49.0651,51.5469
32,49.0651,50.9162
33,49.1297,50.2941
34,49.1297,50.2941
35,52.6751,50.4371
36,52.6751,49.9628
37,48.7854,49.6879
38,52.6751,49.7671
39,52.6751,49.8895
40,52.6751,50.012
41,52.6751,50.1346
42,48.7854,50.0748
43,51.1181,50.1448
44,52.6751,50.4516
45,52.6751,50.5938
46,49.1297,50.5938
47,50.7801,50.66
48,45.0,50.4293
49,58.2825,50.7271
50,50.9443,50.8
51,58.2825,51.1651
52,50.9443,51.2381
53,50.9443,51.3111
54,49.0651,50.9915
55,45.0,50.9915
56,45.0,50.8295
57,45.0,50.6673
58,45.0,50.5023
59,45.0,50.337
60,47.3267,50.1216
61,52.6751,50.1216
62,49.1297,50.1354
63,45.0,49.8269
64,45.0,49.5181
65,52.6751,49.5181
66,52.6751,49.5181
67,52.6751,49.6749
68,52.6751,49.7376
69,48.7854,49.5808
70,49.7312,49.4622
71,52.6751,49.6051
72,47.7202,49.4816
73,48.7854,49.6336
74,47.7202,49.2134
75,46.2041,49.0226
76,45.0,48.4954
77,47.9822,48.3764
78,46.7221,48.2068
79,46.1545,48.0898
80,46.7221,48.1588
81,45.0,48.1588
82,45.0,48.1588
83,45.0,48.1588
84,45.0,48.1588
85,46.7298,48.1348
86,45.7617,47.8579
87,47.9822,47.8118
88,47.5897,47.9156
89,47.5897,48.0195
90,47.404,47.8086
91,52.6751,47.8086
92,52.6751,47.8086
93,45.0,47.5017
94,45.0,47.35
95,45.0,47.1603
96,45.0,46.8539
97,45.0,46.7449
98,45.0,46.5931
99,45.0,46.4841
100,45.0,46.4358
101,45.0,46.4358
102,45.0,46.3162
103,45.0,46.2472
104,45.0,46.2009
105,45.0,46.1318
106,45.0,46.1318
107,45.0,46.1318
108,50.9443,46.3695
109,58.2825,46.8906
110,45.0,46.821
111,45.0,46.7904
112,45.0,46.6703
113,45.0,46.5661
114,45.0,46.4618
115,45.0,46.365
116,50.9443,46.2966
117,49.0651,46.1534
118,45.0,46.1534
119,45.0,46.1534
120,45.0,46.1534
121,47.3267,46.2469
122,45.0,46.2469
123,45.0,46.2469
124,42.6733,46.1537
125,45.0,46.1537
126,45.0,46.1537
127,45.0,46.1537
128,42.6733,46.0604
129,39.7304,45.8502
130,45.0,45.8502
131,49.7312,46.0403
132,45.0,46.0403
133,45.0,45.8019
134,45.0,45.2848
135,45.0,45.2848
136,42.6733,45.1916
137,42.6733,45.0983
138,42.6733,45.0051
139,45.0,45.0051
140,45.0,45.0051
141,45.0,44.7684
142,45.0,44.6062
143,39.8056,44.3988
144,41.4375,44.2561
145,45.0,44.2561
146,43.6987,44.1109
147,45.0,44.1109
148,41.4375,43.9682
149,45.0,44.0615
150,45.0,44.0615
151,45.0,44.0615
152,45.0,44.0615
153,45.0,44.1547
154,45.0,44.3652
155,49.0651,44.5274
156,52.3382,44.6293
157,52.3382,44.9205
158,50.1944,45.1282
159,50.1944,45.3362
160,59.0362,45.8826
161,59.0362,46.5276
162,50.0623,46.8265
163,50.0623,47.1252
164,45.0,47.1252
165,50.0623,47.3302
166,45.0,47.3302
167,45.0,47.3302
168,45.0,47.5372
169,45.0,47.6797
170,45.0,47.6797
171,45.0,47.732
172,45.0,47.732
173,45.0,47.8741
174,45.0,47.8741
175,45.0,47.8741
176,45.0,47.8741
177,45.0,47.8741
178,54.2175,48.2448
179,52.0181,48.528
180,45.0,48.3639
181,47.3818,48.1639
182,47.3818,47.9641
183,52.0181,48.0374
184,52.0181,48.1107
185,52.0181,47.8376
186,45.0,47.2844
187,45.0,47.081
188,45.0,46.8777
189,45.0,46.8777
190,39.9377,46.4731
191,39.9377,46.2713
192,41.4375,46.1286
193,41.4375,45.9857
194,39.8056,45.7779
195,41.4375,45.6347
196,45.0,45.6347
197,45.0,45.6347
198,41.4375,45.4913
199,41.4375,45.3479
200,40.9349,45.1842
201,40.0671,44.9856
202,41.4375,44.8418
203,39.9377,44.2724
204,45.0,43.9931
205,49.0651,44.1561
206,45.0,44.0602
207,45.0,43.9644
208,45.0,43.6859
209,45.0,43.4084
210,45.0,43.1317
211,45.0,43.1317
212,40.9349,42.9687
213,45.0,42.9687
214,40.9349,42.8056
215,40.9349,42.8455
216,40.9349,42.8854
217,40.9349,42.8653
218,40.9349,42.8451
219,40.9349,42.8903
220,39.9377,42.8303
221,45.0,42.8303
222,46.5899,42.8937
223,40.9349,42.8736
224,45.0,43.0166
225,39.0557,42.9415
226,49.9329,43.3352
