s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,8.48528137423857,6.6597332301758,301.6988933062603,45.0,86.93598579991846
1,8.48528137423857,6.794753245986083,301.6988933062603,45.0,87.10345199038801
2,8.48528137423857,6.839984753073475,301.6988933062603,45.0,86.84452154245321
3,8.48528137423857,6.8507672733777065,301.6988933062603,45.0,86.18030596687193
4,8.48528137423857,6.930407581119968,301.6988933062603,45.0,85.28919935575648
5,8.48528137423857,6.979851002581722,301.6988933062603,45.0,84.46161604127614
6,8.48528137423857,6.993221289254837,301.6988933062603,45.0,84.02228003270663
7,8.48528137423857,6.991301167640422,301.6988933062603,45.0,82.79029839143476
8,8.48528137423857,7.046177742014248,301.6988933062603,45.0,81.43864227410026
9,8.48528137423857,7.060600633466167,301.6988933062603,45.0,80.95504654606793
10,8.48528137423857,7.043399848903134,301.6988933062603,45.0,80.50017680812509
11,8.48528137423857,7.102827385431177,301.6988933062603,45.0,80.0
12,8.48528137423857,7.123963510461512,301.6988933062603,45.0,79.5
13,8.48528137423857,7.1228636278111805,301.6988933062603,45.0,79.0
14,8.48528137423857,7.103179959054586,301.6988933062603,45.0,78.0
15,8.48528137423857,7.068020546929161,301.6988933062603,45.0,77.5
16,8.48528137423857,7.002813366503504,301.6988933062603,45.0,77.0
17,8.48528137423857,6.882855948290261,301.6988933062603,45.0,76.50159819541196
18,8.48528137423857,6.786087882219827,301.6988933062603,45.0,76.00289812907589
19,8.48528137423857,6.723143379665144,301.6988933062603,45.0,75.58075019079256
20,8.48528137423857,6.612214291832201,301.6988933062603,45.0,76.06202792616153
21,8.48528137423857,6.4815496317407995,301.6988933062603,45.0,74.64921369094698
22,10.0,6.546342486299821,299.7119849016403,45.3524472572414,74.74307725884385
23,10.0,6.652813877890234,297.89065219740525,45.6757719138095,75.05765759843085
24,10.0,6.600351172906255,296.21502610950904,45.97342207345808,74.54389849696301
25,10.0,6.4942876254610145,294.3870703772586,46.29832139456503,74.0
26,10.0,6.442897676387265,292.5591146450082,45.974206169568,73.48957206797257
27,11.313708498984761,6.523107898141093,289.54212571194563,45.97420616956799,73.0
28,11.313708498984761,6.71989510049665,286.52513677888305,45.97420616956799,73.0626840736416
29,11.313708498984761,6.944711239052012,283.5081478458204,45.974206169568,72.82738651178326
30,11.313708498984761,6.988161428933759,280.49115891275784,45.97420616956799,71.27908544502196
31,11.313708498984761,6.962594982271519,277.4741699796952,45.974206169568,71.01644751976814
32,11.313708498984761,6.978751350170688,274.4571810466326,45.97420616956799,70.8306611084472
33,11.313708498984761,6.937036074006736,271.44019211357,45.97420616956799,70.15744044591919
34,11.313708498984761,6.894267003392646,268.4232031805074,45.97420616956799,70.02673581298707
35,11.313708498984761,6.823015308948038,265.4062142474448,45.97420616956799,69.48530886884024
36,10.0,6.782851035679584,263.5782585151944,46.29936746306134,69.06749816408308
37,10.0,6.8079979066023535,261.750302782944,46.62470714057231,68.14062314002639
38,10.0,6.804939954953622,259.9223470506936,46.95020435347982,68.0
39,10.0,6.7123911522031845,258.0943913184432,47.27583819229849,67.48004695514933
40,8.48528137423857,6.675755884412663,258.0943913184432,47.27583819229849,66.93250554279082
41,8.48528137423857,6.7755384892690875,258.0943913184432,47.27583819229849,67.0
42,8.48528137423857,6.877702364412887,258.0943913184432,47.27583819229849,66.99355172698878
43,8.48528137423857,6.972188052528172,258.0943913184432,47.27583819229849,67.0
44,8.48528137423857,6.993630666268714,258.0943913184432,47.27583819229849,66.49777043172159
45,8.48528137423857,6.948171646870527,258.0943913184432,47.27583819229849,66.0
46,8.48528137423857,6.979112235046881,258.0943913184432,47.27583819229849,66.0
47,8.48528137423857,6.951460161667893,259.9223470506936,46.95020435347982,65.5625
48,10.0,7.023190586200842,259.9223470506936,46.95020435347982,65.0
49,10.0,7.031120802370341,259.9223470506936,46.95020435347982,64.5
50,10.0,6.995887107443771,259.9223470506936,46.95020435347981,64.0
51,10.0,6.862905383107432,259.9223470506936,47.59949204331131,63.5
52,8.48528137423857,6.765164497741129,262.93933598375617,47.59949204331131,63.0
53,8.48528137423857,6.738994071854921,265.9563249168188,47.599492043311315,62.49664049195047
54,8.48528137423857,6.62930260028559,268.9733138498814,47.59949204331131,62.02795318554126
55,14.422205101855956,6.537416343436215,267.0225095623765,48.05168379038184,61.53195225012523
56,14.422205101855956,6.6103651822325755,265.07170527487165,48.50420029035947,61.06746831200299
57,14.422205101855956,6.578794740407201,263.1209009873667,48.95698538627746,60.48169690619104
