transect_id,s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,0,10.0,6.628551230112798,256.0,53.13010235415597,86.5
0,1,8.94427190999916,6.563540569739398,271.10835055998655,58.28252558853898,86.0
0,2,8.94427190999916,6.5604843788834515,276.1444674133154,60.004126352727,85.4332871584221
0,3,8.94427190999916,6.559441939504881,278.6625258399798,60.86395609120603,85.0
0,4,8.94427190999916,6.4885253952495,280.1733608959785,61.37932080941065,84.4130158571359
0,5,8.94427190999916,6.46990708246164,281.18058426664425,61.72262399510132,84.50645724503757
0,6,8.94427190999916,6.4643309977116425,281.9000295314055,61.96769067475909,84.0
0,7,8.94427190999916,6.574060259865409,282.43961347997646,62.151402608170756,83.49856431594745
0,8,8.94427190999916,6.701767276856908,282.85928988442055,62.29423480032453,83.52765457396822
0,9,8.94427190999916,6.717795936089484,283.1950310079758,62.40846469141902,83.02890900992506
0,10,8.94427190999916,6.665834038396625,283.46972829088463,62.50190112015823,81.91540709356863
0,11,8.94427190999916,6.640149111708477,283.69864269330867,62.57974766125086,81.18698635153206
0,12,8.94427190999916,6.649019078164089,283.8923394953598,62.64560541005716,81.73592480847486
0,13,8.94427190999916,6.609133064345789,284.0583653256893,62.70204572320624,81.03983120337821
0,14,8.94427190999916,6.541611181988591,284.20225437864156,62.750953714510224,80.0
0,15,10.0,6.542096632006825,282.43961347997646,61.176881888300905,79.4375
0,16,10.0,6.625623015064777,280.88434209880137,59.773495408316606,79.0
0,17,10.0,6.6613548028781,279.50187864886794,58.51589995493782,78.5
0,18,10.0,6.725036104059453,278.2649376673486,58.22874645369607,77.5
0,19,10.0,6.652358729512494,277.15169078398117,57.97059401305592,77.0
0,20,8.94427190999916,6.555162492919077,277.58335794283795,58.23391646356721,76.5
0,21,8.94427190999916,6.64255060571668,277.9757826327077,58.473087682197445,76.5
0,22,8.94427190999916,6.699647833453445,278.3340834365018,58.691277305777625,76.0
0,23,8.94427190999916,6.761084530073079,278.6625258399798,58.891124698889776,75.5
0,24,8.94427190999916,6.8201662626700275,278.96469285117956,59.07484518305092,75.5
0,25,8.94427190999916,6.888734557668986,280.1733608959785,59.49128653045633,75.0
0,26,8.94427190999916,6.849212382299109,280.1733608959785,59.49128653045633,74.4375
0,27,8.94427190999916,6.716090573255674,280.1733608959785,59.49128653045633,73.97199066276697
0,28,11.661903789690601,6.799741726555269,277.50542041047606,59.31341354791523,74.17727570273388
0,29,8.94427190999916,6.782035659438545,277.505420410476,59.31341354791523,74.31429624313247
0,30,8.94427190999916,6.782893812037372,277.50542041047606,59.31341354791523,74.72967629418588
0,31,8.94427190999916,6.812363685178717,277.505420410476,59.31341354791523,74.93396830778747
0,32,8.94427190999916,6.7519243939380456,277.50542041047606,59.31341354791523,75.09557525256919
0,33,8.94427190999916,6.627536215773418,277.505420410476,59.31341354791523,74.99555250868198
0,34,10.0,6.477565456285928,276.2967523656771,58.896997709885234,74.5
0,35,10.0,6.496683367919383,275.0880843208781,57.84102203345292,74.00311370286974
0,36,10.0,6.689667985858519,273.8794162760792,56.779765863798985,73.98456104580234
0,37,10.0,6.707856332279151,272.6707482312803,55.713922673033224,74.0
0,38,10.0,6.666023785881193,271.4620801864814,54.64420462280925,73.0
0,39,10.0,6.556386495499189,270.2534121416825,53.571339853008304,73.02578133419823
0,40,8.48528137423857,6.485477783039343,272.0813678739329,53.89491092344477,73.0
0,41,8.48528137423857,6.431624027055454,273.9093236061833,54.21764312850009,72.0
0,42,8.48528137423857,6.424135620599893,275.73727933843367,54.5395193276704,71.5
0,43,8.48528137423857,6.379212123386481,277.5652350706841,54.21012817690411,71.0
0,44,8.48528137423857,6.28517777446182,279.3931908029345,53.88039566421808,70.5
0,45,7.211102550927978,6.333315094137455,282.1448477815014,53.591942964033294,70.0
0,46,10.0,6.424762261283944,280.93617973670257,53.174422542704264,69.43769008769097
0,47,10.0,6.492278648357446,279.72751169190366,52.7574453460681,69.0
0,48,10.0,6.527434236294556,278.5188436471047,52.34105439333243,68.97090111706326
0,49,10.0,6.37771460551551,277.3101756023058,51.92529233517671,68.27791485641092
0,50,10.0,6.622415857720049,276.10150755750686,50.85591637661456,67.47828016303073
0,51,10.0,6.6546636582711685,274.89283951270795,49.78605010225603,67.0
0,52,10.0,6.649298236805136,273.684171467909,48.71643922684972,66.0
0,53,8.48528137423857,6.62383386849558,276.97139964086296,48.14892568513098,65.50225187164982
0,54,8.94427190999916,6.718256241535528,276.97139964086296,48.14892568513098,65.0
0,55,8.94427190999916,6.7770995960975355,276.97139964086296,48.14892568513098,64.5027327465741
0,56,8.48528137423857,6.7177820769221865,277.59068732831446,47.408925624680485,64.0
0,57,8.94427190999916,6.694587084707878,277.5906873283144,47.40892562468049,63.50388967593892
0,58,8.94427190999916,6.656604257766782,277.59068732831446,47.408925624680485,63.499717424082974
0,59,11.661903789690601,6.582135928813117,276.1314148876109,46.518558625392686,63.0
0,60,8.94427190999916,6.491599062292642,277.3400829324098,47.58632672614443,62.503880488616765
0,61,8.94427190999916,6.459200995134299,278.5487509772088,48.65588122286016,62.0
0,62,10.0,6.369777090543543,278.5487509772088,48.65588122286016,61.502763959021586
0,63,10.770329614269007,6.466904229132738,277.8163522918738,49.91277445793033,61.0
0,64,10.0,6.56407892506573,277.8163522918738,50.56946811555438,60.498119616748895
0,65,10.0,6.761833471227721,275.9883965596234,50.899682091435665,60.0
1,0,8.94427190999916,6.5063433039412235,286.2167011199731,63.43494882292201,86.5
1,1,8.94427190999916,6.436221585962992,286.2167011199731,63.43494882292201,86.0
1,2,8.94427190999916,6.509186408592503,286.2167011199731,63.43494882292201,85.5
1,3,8.94427190999916,6.395043197433521,286.2167011199731,63.43494882292201,85.0
1,4,8.94427190999916,6.3735141424531845,286.2167011199731,63.43494882292201,85.0
1,5,10.770329614269007,6.4349973640016,278.12892307774865,64.22838083171126,84.43495701764749
1,6,10.770329614269007,6.54823534237681,272.35193876187407,64.79550905815219,84.00333309409186
1,7,10.770329614269007,6.515065160904642,268.0192005249681,65.22099268795826,83.9326128630035
1,8,8.94427190999916,6.606520599693995,270.0411450355242,65.02242262745928,84.41621986031966
1,9,8.94427190999916,6.706225171950544,271.6587006439691,64.86358008879,84.0
1,10,8.94427190999916,6.6743190679145075,272.9821552326967,64.73362879992148,84.0
1,11,8.94427190999916,6.61304208097152,274.0850340566364,64.62534451537904,83.5
1,12,8.94427190999916,6.619477016802898,275.01823921535464,64.53372596869849,83.0
1,13,8.94427190999916,6.632503648168126,275.8181293513988,64.45520099089289,82.582233939981
1,14,8.94427190999916,6.608606510266033,276.51136746930376,64.38715013746194,82.4788151890659
1,15,11.661903789690601,6.687806364514477,272.949293813873,64.05294395409963,80.93594513730828
1,16,11.661903789690601,6.678039268587525,269.80628764731637,63.757942168503035,80.50463779081578
1,17,11.661903789690601,6.541139582611587,267.01250438815504,63.4956418392856,79.99670749875625
1,18,10.0,6.523451987289974,266.4328988940416,62.95205858355551,79.18804940856276
1,19,10.0,6.736937487183775,265.91125394933954,62.46216653246617,78.86028097816566
1,20,10.0,6.964193279782974,265.43928947556145,62.018447360674216,78.00437379842032
1,21,10.0,7.0708311021668715,265.01023086303593,61.61471354469288,77.50257597460208
1,22,10.0,7.06497280570062,264.61848169507783,61.245828448448854,77.0
1,23,10.0,7.0039070961862455,264.25937829111626,60.90749373113985,76.5
1,24,10.0,6.8557611061598065,263.9290031594716,60.596086039359854,76.0
1,25,10.0,6.796933369281589,262.7203351146727,60.182992320850154,75.5
1,26,10.0,6.691981133550142,261.51166706987374,59.76970085902535,75.0
1,27,10.0,6.632211049982446,260.3029990250748,58.723546569891816,74.5
1,28,10.0,6.701219099945786,259.0943309802759,57.67160307835702,73.49979721873335
1,29,10.0,6.554880358399935,257.885662935477,56.614536826194744,73.0
1,30,7.211102550927978,6.519609382011604,262.5783866441778,56.13668555682019,72.46809971426482
1,31,7.211102550927978,6.589418085471325,267.2711103528786,55.65968703127386,72.73434282419102
1,32,7.211102550927978,6.605761118465015,271.9638340615794,55.18360490366896,72.56069363654919
1,33,7.211102550927978,6.5227959828138475,274.7154910401464,54.89713777934978,71.99559588788827
1,34,8.94427190999916,6.528147762004142,274.7154910401464,54.89713777934978,71.51877832692867
1,35,8.94427190999916,6.531917533575954,274.7154910401464,54.89713777934978,71.73304969022783
1,36,8.94427190999916,6.591379507986239,274.7154910401464,54.89713777934978,72.04185197266028
1,37,8.94427190999916,6.586740078049205,274.7154910401464,54.89713777934978,71.84850314024455
1,38,8.94427190999916,6.580321152508105,274.7154910401464,54.89713777934978,72.06350989290277
1,39,8.94427190999916,6.658909408612471,274.7154910401464,54.89713777934978,71.46661088464174
1,40,8.94427190999916,6.69201318413246,277.3834315256488,55.07362989878983,71.5180367078209
1,41,8.94427190999916,6.764008713412236,280.05137201115133,55.25023948666674,71.73069104029493
1,42,8.94427190999916,6.831634312305617,282.71931249665374,55.42696330096274,71.54481654245787
1,43,8.94427190999916,6.75735925095106,283.9279805414527,55.842410692399106,71.00315084517594
1,44,8.94427190999916,6.673830589864071,285.1366485862516,56.25811497584984,70.97222250776707
1,45,8.94427190999916,6.490561255228204,286.34531663105054,56.67403258751493,71.0964017989017
1,46,8.94427190999916,6.351468254588106,287.55398467584945,57.09011982895963,71.0
1,47,8.94427190999916,6.148439265029092,288.7626527206484,57.506332894545146,71.0
1,48,11.661903789690601,6.221334093605421,287.3033802799448,56.64395154866303,70.5
