s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,8.48528137423857,6.20581508805285,301.6988933062603,45.0,94.4559964896801
1,10.0,6.376291894442414,278.84944665313014,49.06505117707799,93.55248052446439
2,10.0,6.492454592208121,271.2329644354201,50.422092592563764,92.9955276631607
3,10.0,6.468749798241076,267.4247233265651,51.10013776507965,92.49774925093257
4,10.0,6.511921508998723,265.1397786612521,51.50670347435963,92.0
5,10.0,6.469428895875231,263.61648221771003,51.77761319035657,91.5
6,10.0,6.43103913622067,262.52841332946576,51.97104655217288,91.5
7,10.0,6.419080052927941,261.71236166328254,52.11607831814184,91.0
8,10.0,6.414544684514435,261.0776548118067,52.22885384798905,90.5
9,10.0,6.472319781895952,260.56988933062604,52.31905664883337,90.0
10,10.0,6.433734408373745,260.15444484602364,52.39284695186753,89.5
11,10.0,6.384182428999085,259.80824110885504,52.454330440346475,89.0
12,12.806248474865697,6.3335519171322225,255.20010065566737,52.36857088136302,88.4375
13,7.211102550927978,6.275776115828691,262.3292452934159,51.05229455106436,88.0
14,11.313708498984761,6.3199996138548205,259.92557360583453,50.647840410283266,88.0
15,11.313708498984761,6.413714245027589,257.8223608792008,50.293912360404896,87.5625
16,8.48528137423857,6.600348738069474,260.4033333749102,49.98162174459357,87.0
17,8.48528137423857,6.710944354268585,262.6975311488741,49.70404486477773,86.50014382890674
18,8.48528137423857,6.738636690179928,264.75023442031545,49.45570950924404,86.0
19,8.48528137423857,6.68976830997251,266.5976673646127,49.23223420615256,85.0
20,8.48528137423857,6.668854368414599,268.269154314215,49.030069796937305,84.5
21,8.48528137423857,6.623510615835828,269.78868790476247,48.84631105078076,83.9975023488217
22,8.48528137423857,6.512869219526993,271.1760881396102,48.67855716081701,83.511285345531
23,8.48528137423857,6.521943982527354,272.44787168822063,48.524806956491595,82.99743746026174
24,8.48528137423857,6.648774007454721,273.61791255294224,48.38337916599553,82.53897707375872
25,8.48528137423857,6.800440028174161,273.61791255294224,48.38337916599553,81.84892379769641
26,8.48528137423857,6.90175960858559,275.4458682851926,48.05728748510349,81.06741779327221
27,8.48528137423857,6.949521146642036,277.273824017443,47.73126108359256,80.49131484053788
28,8.48528137423857,7.029108044648417,279.10177974969343,47.4053210468222,79.84252377893445
29,8.48528137423857,7.050499994835753,280.92973548194385,47.07948842662598,78.76170650287473
30,8.48528137423857,7.070337799597585,282.75769121419427,46.75378423317658,77.93838198817872
31,8.48528137423857,7.017032775063615,284.5856469464447,46.42822942689128,77.41615813948901
32,8.48528137423857,6.966246630078976,286.4136026786951,46.102844910385436,77.00736857549956
33,8.48528137423857,6.896887653562634,288.2415584109455,45.77765152048183,76.83288710883275
34,8.48528137423857,6.822990132254491,290.06951414319593,45.452670020283314,75.91455576992024
35,8.48528137423857,6.723769319679917,291.89746987544635,45.12792109131626,76.0
36,8.48528137423857,6.582186855929222,293.72542560769676,44.80342532575223,76.0
37,10.0,6.6131532198335865,295.9693289990001,44.22555525366239,76.00312516014904
38,8.48528137423857,6.569078686813572,293.83695970788466,44.67575923475838,76.00318455322122
39,8.48528137423857,6.5102326438676545,296.8539486409473,44.67575923475837,75.95682331506553
40,14.142135623730951,6.4520051393229245,295.0437552811097,44.675759234758374,75.93255978835893
41,14.142135623730951,6.620607332964368,290.2165729882096,44.67575923475837,76.09162174366355
42,14.142135623730951,6.516628149475885,285.3893906953094,44.675759234758374,76.0
43,14.142135623730951,6.518747946406343,280.5622084024092,44.67575923475838,75.98133786900726
44,14.142135623730951,6.637310488207257,275.7350261095091,44.67575923475837,75.46187418463478
45,14.142135623730951,6.643245481380431,270.90784381660893,44.67575923475839,75.0042788394495
46,14.142135623730951,6.433006415906525,266.0806615237087,44.67575923475837,74.5704617205584
47,10.0,6.427302902285485,264.2527057914583,44.35127835400168,73.93506886701007
48,10.0,6.455333124841779,262.4247500592079,44.026577926541925,73.55083850042062
49,10.0,6.5129418769407135,260.5967943269575,43.70167860543497,72.5534373388641
50,10.0,6.5677526708420535,258.76883859470706,43.37660112020366,71.93463872228614
51,8.48528137423857,6.6226247603962705,258.76883859470706,43.37660112020366,71.91612278171132
52,8.48528137423857,6.646065153692953,258.76883859470706,43.37660112020366,72.0
53,8.48528137423857,6.565351112205117,258.76883859470706,43.37660112020366,72.0
54,10.0,6.65472032855443,256.94088286245665,43.700632536938656,71.99603613500884
55,10.0,6.660696162419343,255.11292713020626,44.025008470239506,72.03354947213143
56,10.0,6.660609286245919,253.28497139795584,43.69958478172038,71.78441269919381
57,10.0,6.6369315778878235,251.45701566570543,44.02422184290542,71.228131368704
58,10.0,6.646125206581917,249.62905993345504,44.349183718387685,70.93376300900213
59,10.0,6.5945875241197776,247.80110420120462,44.67444995930275,71.00391485255905
60,10.0,6.617069942420425,245.9731484689542,45.0,71.0796230839232
61,10.0,6.481130887112809,244.1451927367038,45.32581316563677,70.21844483558888
62,11.313708498984761,6.521724284122151,242.9561595358916,45.65134205566304,69.91419403565283
63,11.313708498984761,6.569637564035389,239.939170602829,45.65134205566304,70.0
64,11.313708498984761,6.627259252656428,236.9221816697664,45.65134205566304,69.61954545666106
65,11.313708498984761,6.605808268057507,238.73237502960393,45.65134205566304,68.93314406918475
66,11.313708498984761,6.5310952544103555,240.5425683894415,45.65134205566304,69.01840765091174
67,10.0,6.43520114803678,243.5417949500913,45.97735522547303,68.10056583162117
68,10.0,6.528967971087983,246.54102151074102,46.30356864515418,68.03801258657023
69,10.0,6.399610989996213,249.54024807139078,46.62996133212064,67.36182637485014
70,10.0,6.3998172905198984,252.5394746320405,46.956512234184686,66.99579533354665
71,10.0,6.396287167828093,255.53870119269027,46.63128019277296,66.6428095444936
72,10.0,6.489100425837039,255.53870119269027,46.63128019277297,65.97219507037752
73,10.0,6.630733894603819,255.53870119269027,46.63128019277297,65.61570670322976
74,10.0,6.585569572493895,255.53870119269027,46.63128019277296,64.9726112322797
75,10.0,6.617324489536481,255.53870119269027,46.63128019277297,65.06450209669089
76,10.0,6.678708493132783,253.71074546043985,46.30567943853981,64.4624596361659
77,10.0,6.830765444721042,251.88278972818946,45.97973040864805,64.06426264490686
78,10.0,6.970815428879072,250.05483399593905,45.653453674164304,63.044168195713496
79,10.0,7.0005012938054945,250.05483399593905,45.0,62.622994615964814
80,10.0,7.039494808066461,250.05483399593905,44.34654632583569,61.73634911031837
81,10.0,7.116343248286019,250.05483399593905,44.34654632583568,61.0
82,10.0,7.104542666814315,250.05483399593905,43.69326259972078,60.501756949872025
83,10.0,7.050481895162935,250.05483399593905,43.040318504656916,60.0
84,10.0,7.0299860107220935,250.05483399593905,42.38788319458272,60.0
