s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,10.770329614269007,6.871405858132774,237.6900328666264,68.19859051364818,92.50421219115643
1,10.770329614269007,6.843544594663198,237.6900328666264,68.19859051364818,92.0
2,10.770329614269007,6.793147158383742,237.6900328666264,68.19859051364818,91.5
3,10.770329614269007,6.789132067120137,237.6900328666264,68.19859051364818,91.5
4,10.770329614269007,6.6835492714328995,237.6900328666264,68.19859051364818,91.0
5,10.0,6.584131676803489,240.741694055522,63.12312181718091,90.49525038135334
6,10.0,6.596833559782218,242.9214520475903,59.38708735239282,90.04311471126786
7,11.661903789690601,6.59219489587732,239.9960441644429,59.342041236751776,89.52878041007534
8,7.211102550927978,6.505696916899678,252.77516432218778,56.49011599600009,89.06230414445274
9,10.770329614269007,6.465326682524185,251.26665117663165,57.69110350182728,88.43254404275302
10,8.48528137423857,6.477587871167178,255.85140046114336,56.51018181424341,88.0619834051105
11,8.48528137423857,6.5287897140061375,259.6720248649031,55.528048234584915,87.08985181374632
12,8.48528137423857,6.43129154119035,262.90486089885366,54.69886207157583,87.04485434064131
13,10.0,6.381264504148025,262.4116565489355,54.58374320703735,86.59625499259994
14,8.48528137423857,6.4048250151185115,265.0308056660905,53.93092844926679,86.06095880124923
15,8.48528137423857,6.502013563053484,267.3225611436011,53.36078481257397,85.42633922499563
16,8.48528137423857,6.492332936652016,269.34469832963987,52.85863782311794,84.52483803657644
17,8.94427190999916,6.6469829202128965,270.28203181799176,53.457010747084475,84.0
18,8.94427190999916,6.812889018885763,271.1206986233592,53.991883381957585,83.89442601189701
19,8.94427190999916,6.8750150437942015,271.8754987481899,54.47277446472266,83.50737725943947
20,8.94427190999916,6.966587927728186,272.5584131468462,54.907404879498415,83.04982844436483
21,8.94427190999916,6.949870935796184,273.17924441835197,55.30209999881059,82.56300240119899
22,8.94427190999916,6.851141693576781,273.74609036190077,55.66208933453274,82.06325291521853
23,8.94427190999916,6.775661724947617,274.2656991434871,55.99173262867739,81.07806189650924
24,7.211102550927978,6.770025922396839,277.49539620111346,56.0047163564971,81.14609777043472
25,7.211102550927978,6.6877845673262435,282.18811990981425,55.52381397833855,81.0
26,8.48528137423857,6.616985963352733,284.7484743273996,54.58510925317566,80.92504362960044
27,7.211102550927978,6.531752525097393,289.44119803610045,54.10642689549534,81.01985663765312
28,7.211102550927978,6.449153175095539,294.1339217448013,53.6288869305381,80.50202041376252
29,7.211102550927978,6.404800557474887,298.82664545350207,53.152551373500415,80.0
30,7.211102550927978,6.424990756408339,302.78697047686796,53.931564069701054,80.0
31,12.806248474865697,6.479316779950947,300.54306708556453,54.00121261469313,80.0
32,12.806248474865697,6.569519593936261,299.75843613496477,53.18231607951976,79.49682889024336
33,12.806248474865697,6.515732848741051,293.5542077202955,53.37483111147767,79.0
34,12.806248474865697,6.364675685744711,292.0427030143271,52.191275167281965,78.8071061586433
35,12.806248474865697,6.289138691507755,287.97084389077327,51.93853543769222,78.09230380934356
36,11.661903789690601,6.398052297868831,284.68361571781935,52.50619434398522,77.11326211838346
37,11.661903789690601,6.520335357892339,281.3963875448654,53.07375744993229,76.52069589031434
38,10.0,6.583477944687508,281.3963875448654,53.073757449932295,75.65576263365153
39,10.0,6.673832432136464,279.56843181261496,53.402115010188794,74.56171676602818
40,10.0,6.757627774055292,277.74047608036454,53.73018738780979,74.0
41,10.0,6.834821586509662,275.9125203481141,54.05795347092511,74.0
42,10.0,6.874079283679666,274.7038523033152,53.64270744490008,73.49898609660086
43,10.0,6.911064428974719,273.4951842585163,53.227949317142446,72.96867993575215
44,10.0,6.903052353406076,272.2865162137174,52.813721615196535,73.36564306024246
45,10.0,6.846253553043354,271.0778481689184,52.40006653615361,73.37120434372991
46,10.0,6.847188037908171,269.8691801241195,51.98702592179324,73.81812684657271
47,10.0,6.884867604682135,268.6605120793206,51.57464123426877,74.88472052434935
48,10.0,6.853368208659531,267.4518440345217,51.16295353237047,74.90255126668121
49,10.0,6.72770899160507,263.4915190111558,51.03515053357407,75.43330937141528
50,7.211102550927978,6.7476716605856195,263.49151901115584,51.03515053357407,75.44533439823114
51,7.211102550927978,6.738716625021521,265.6238883022713,51.4898695467377,75.91246963436376
52,7.211102550927978,6.61639816803023,265.62388830227127,51.4898695467377,75.48347027480673
53,12.649110640673518,6.391229159002552,259.51899408893644,52.08935805748672,75.3772834987418
54,10.0,6.432906231574062,255.55866906557057,51.31110516607512,75.75065538746736
55,10.0,6.267358902856125,251.5983440422047,50.53110238433704,75.9190289321015
56,12.649110640673518,6.206226745700055,251.69767824353912,51.84196484834878,75.60282828884029
57,8.48528137423857,6.3537690783579155,255.76953736709288,52.09460590487174,75.0
58,8.48528137423857,6.700535521527002,259.8413964906467,52.34684412886496,74.9816563721682
59,8.48528137423857,6.8941280951534205,263.91325561420047,52.598670729479544,74.6769071635799
60,8.48528137423857,7.00750173826159,267.9851147377542,52.85007700814322,73.96281867549358
61,8.48528137423857,7.076277926238589,271.27234291070823,52.284649366980425,74.0
62,8.48528137423857,7.106186016036354,274.55957108366215,51.71916980877432,73.56243813396487
63,8.48528137423857,7.193883033733962,276.38752681591257,51.39135685264068,72.49641869580614
64,8.48528137423857,7.238420521486525,278.215482548163,51.06339144221245,71.9960862715964
65,8.48528137423857,7.250641463798036,280.0434382804134,50.73529497630929,71.55753682894277
66,8.48528137423857,7.198235934171596,281.8713940126638,50.40708890523161,70.59835436593175
67,8.48528137423857,7.0663915348875905,283.69934974491423,50.07879472238189,69.50324709593772
68,8.48528137423857,6.90026130963162,285.52730547716465,49.75043395584381,68.93537685533279
69,8.48528137423857,6.8342947361373385,287.35526120941506,49.42202815992719,68.02349593707035
70,8.94427190999916,6.830708279671634,288.563929254214,49.83358382778901,68.52358956975202
71,8.94427190999916,6.826861058231926,289.7725972990129,50.2460195884031,68.0
72,7.211102550927978,6.746672830036996,293.7329223223788,50.37446951529204,68.0
